"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"8","0.024403","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=457, FN=0, Flags=.p....F.C"
"20","0.148324","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-101 dBm","61 dB","144.444","QoS Data, SN=458, FN=0, Flags=.p....F.C"
"32","0.235509","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","86.6667","QoS Data, SN=459, FN=0, Flags=.p..R.F.C"
"46","0.339218","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-101 dBm","65 dB","144.444","QoS Data, SN=460, FN=0, Flags=.p....F.C"
"59","0.452211","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-101 dBm","67 dB","144.444","QoS Data, SN=461, FN=0, Flags=.p....F.C"
"74","0.544000","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=462, FN=0, Flags=.p....F.C"
"81","0.648246","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-101 dBm","67 dB","144.444","QoS Data, SN=463, FN=0, Flags=.p....F.C"
"90","0.766949","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=464, FN=0, Flags=.p....F.C"
"116","0.887920","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-30 dBm","-101 dBm","71 dB","57.7778","QoS Data, SN=465, FN=0, Flags=.p....F.C"
"119","0.909671","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=1497, FN=0, Flags=.p....F.C"
"120","0.912881","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=1498, FN=0, Flags=.p....F.C"
"125","0.940062","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=1499, FN=0, Flags=.p....F.C"
"130","0.958543","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=466, FN=0, Flags=.p....F.C"
"138","1.029722","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","193","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=1503, FN=0, Flags=.p....F.C"
"146","1.060648","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=467, FN=0, Flags=.p....F.C"
"148","1.060823","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=1504, FN=0, Flags=.p....F.C"
"161","1.173022","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-101 dBm","65 dB","144.444","QoS Data, SN=468, FN=0, Flags=.p....F.C"
"170","1.267432","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-101 dBm","65 dB","144.444","QoS Data, SN=469, FN=0, Flags=.p....F.C"
"189","1.369788","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","300","-33 dBm","-101 dBm","68 dB","86.6667","QoS Data, SN=470, FN=0, Flags=.p..R.F.C"
"198","1.389760","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-101 dBm","65 dB","144.444","QoS Data, SN=471, FN=0, Flags=.p....F.C"
"220","1.513588","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-101 dBm","65 dB","86.6667","QoS Data, SN=472, FN=0, Flags=.p....F.C"
"227","1.549465","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","162","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=2953, FN=0, Flags=.p....F.C"
"236","1.572750","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=473, FN=0, Flags=.p....F.C"
"238","1.577154","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-36 dBm","-101 dBm","65 dB","144.444","QoS Data, SN=474, FN=0, Flags=.p....F.C"
"241","1.582851","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","164","-36 dBm","-101 dBm","65 dB","144.444","QoS Data, SN=476, FN=0, Flags=.p....F.C"
"250","1.589195","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","164","-36 dBm","-101 dBm","65 dB","144.444","QoS Data, SN=481, FN=0, Flags=.p....F.C"
"255","1.590062","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","745","-36 dBm","-101 dBm","65 dB","144.444","QoS Data, SN=482, FN=0, Flags=.p....F.C"
"286","1.649449","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-36 dBm","-101 dBm","65 dB","144.444","QoS Data, SN=490, FN=0, Flags=.p....F.C"
"297","1.680850","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-32 dBm","-101 dBm","69 dB","144.444","QoS Data, SN=491, FN=0, Flags=.p....F.C"
"299","1.682096","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-32 dBm","-101 dBm","69 dB","144.444","QoS Data, SN=492, FN=0, Flags=.p....F.C"
"309","1.773361","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-101 dBm","65 dB","144.444","QoS Data, SN=493, FN=0, Flags=.p....F.C"
"315","1.875282","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-101 dBm","65 dB","144.444","QoS Data, SN=494, FN=0, Flags=.p....F.C"
"330","1.950634","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","185","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=504, FN=0, Flags=.p....F.C"
"339","1.973354","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=505, FN=0, Flags=.p....F.C"
"348","2.007305","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-31 dBm","-101 dBm","70 dB","144.444","QoS Data, SN=506, FN=0, Flags=.p....F.C"
"351","2.012509","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","189","-31 dBm","-101 dBm","70 dB","144.444","QoS Data, SN=508, FN=0, Flags=.p....F.C"
