"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"11","0.060727","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=390, FN=0, Flags=.p....F.C"
"21","0.140873","aa:3d:0d:e7:5c:dd","Apple_08:a2:51","802.11","246","-45 dBm","-95 dBm","50 dB","1","Probe Response, SN=779, FN=0, Flags=........C, BI=100, SSID=z5098300"
"25","0.161696","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-95 dBm","53 dB","144.444","QoS Data, SN=391, FN=0, Flags=.p....F.C"
"38","0.264261","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-95 dBm","54 dB","144.444","QoS Data, SN=392, FN=0, Flags=.p....F.C"
"53","0.366647","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=393, FN=0, Flags=.p....F.C"
"71","0.483756","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=394, FN=0, Flags=.p....F.C"
"86","0.572023","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-95 dBm","55 dB","144.444","QoS Data, SN=395, FN=0, Flags=.p....F.C"
"101","0.672986","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=396, FN=0, Flags=.p....F.C"
"112","0.776656","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-95 dBm","55 dB","144.444","QoS Data, SN=397, FN=0, Flags=.p....F.C"
"127","0.880062","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-95 dBm","55 dB","144.444","QoS Data, SN=398, FN=0, Flags=.p....F.C"
"140","0.981693","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=399, FN=0, Flags=.p....F.C"
"154","1.085687","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=400, FN=0, Flags=.p....F.C"
"160","1.117184","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","142","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=403, FN=0, Flags=.p....F.C"
"176","1.164265","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","142","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=406, FN=0, Flags=.p....F.C"
"186","1.196086","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=407, FN=0, Flags=.p....F.C"
"199","1.294978","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=408, FN=0, Flags=.p....F.C"
"213","1.392709","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=409, FN=0, Flags=.p....F.C"
"218","1.410997","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","142","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=512, FN=0, Flags=.p....F.C"
"242","1.500752","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-95 dBm","60 dB","43.3333","QoS Data, SN=410, FN=0, Flags=.p....F.C"
"257","1.596784","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=411, FN=0, Flags=.p....F.C"
"275","1.704675","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=412, FN=0, Flags=.p....F.C"
"301","1.826567","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-95 dBm","59 dB","144.444","QoS Data, SN=413, FN=0, Flags=.p....F.C"
"313","1.910744","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=414, FN=0, Flags=.p....F.C"
"326","2.013453","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=415, FN=0, Flags=.p....F.C"
"340","2.115674","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=416, FN=0, Flags=.p....F.C"
"355","2.218545","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=417, FN=0, Flags=.p....F.C"
"366","2.322151","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=418, FN=0, Flags=.p....F.C"
"385","2.423132","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=419, FN=0, Flags=.p....F.C"
"402","2.525101","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=420, FN=0, Flags=.p....F.C"
"438","2.658875","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=421, FN=0, Flags=.p....F.C"
"451","2.723800","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=422, FN=0, Flags=.p....F.C"
"470","2.830970","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=423, FN=0, Flags=.p....F.C"
"491","2.959214","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=424, FN=0, Flags=.p....F.C"
"501","3.037107","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=425, FN=0, Flags=.p....F.C"
"515","3.139943","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=426, FN=0, Flags=.p....F.C"
"534","3.243871","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=427, FN=0, Flags=.p....F.C"
"553","3.375402","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=428, FN=0, Flags=.p....F.C"
"563","3.450780","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=429, FN=0, Flags=.p....F.C"
"579","3.554288","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=430, FN=0, Flags=.p....F.C"
"596","3.656724","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=431, FN=0, Flags=.p....F.C"
"615","3.761438","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=432, FN=0, Flags=.p....F.C"
"642","3.859630","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-95 dBm","55 dB","144.444","QoS Data, SN=433, FN=0, Flags=.p....F.C"
"665","3.963715","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=434, FN=0, Flags=.p....F.C"
"668","3.994728","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","142","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=435, FN=0, Flags=.p....F.C"
"686","4.064949","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-95 dBm","59 dB","144.444","QoS Data, SN=436, FN=0, Flags=.p....F.C"
"702","4.167144","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=437, FN=0, Flags=.p....F.C"
"717","4.272331","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=438, FN=0, Flags=.p....F.C"
"735","4.386114","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-95 dBm","59 dB","144.444","QoS Data, SN=439, FN=0, Flags=.p....F.C"
"756","4.504200","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=440, FN=0, Flags=.p....F.C"
