"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"11","0.030943","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-95 dBm","61 dB","115.556","QoS Data, SN=1692, FN=0, Flags=.p....F.C"
"24","0.142596","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-95 dBm","61 dB","115.556","QoS Data, SN=1693, FN=0, Flags=.p....F.C"
"39","0.243792","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-95 dBm","61 dB","115.556","QoS Data, SN=1694, FN=0, Flags=.p....F.C"
"70","0.405215","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-95 dBm","61 dB","115.556","QoS Data, SN=1695, FN=0, Flags=.p....F.C"
"86","0.448614","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-95 dBm","61 dB","115.556","QoS Data, SN=1696, FN=0, Flags=.p....F.C"
"105","0.546484","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-33 dBm","-95 dBm","62 dB","115.556","QoS Data, SN=1697, FN=0, Flags=.p....F.C"
"120","0.654048","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-33 dBm","-95 dBm","62 dB","115.556","QoS Data, SN=1698, FN=0, Flags=.p....F.C"
"136","0.757216","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-95 dBm","59 dB","115.556","QoS Data, SN=1699, FN=0, Flags=.p....F.C"
"151","0.844170","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-30 dBm","-95 dBm","65 dB","115.556","QoS Data, SN=1700, FN=0, Flags=.p....F.C"
"163","0.945303","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-95 dBm","60 dB","115.556","QoS Data, SN=1701, FN=0, Flags=.p....F.C"
"181","1.048688","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-98 dBm","64 dB","104","QoS Data, SN=1702, FN=0, Flags=.p....F.C"
"194","1.151324","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-98 dBm","63 dB","104","QoS Data, SN=1703, FN=0, Flags=.p....F.C"
"206","1.253720","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-98 dBm","63 dB","104","QoS Data, SN=1704, FN=0, Flags=.p....F.C"
"223","1.356294","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-98 dBm","63 dB","104","QoS Data, SN=1705, FN=0, Flags=.p..R.F.C"
"239","1.458103","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-98 dBm","63 dB","104","QoS Data, SN=1706, FN=0, Flags=.p....F.C"
"255","1.571454","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-98 dBm","64 dB","104","QoS Data, SN=1707, FN=0, Flags=.p....F.C"
"273","1.661967","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-98 dBm","62 dB","104","QoS Data, SN=1708, FN=0, Flags=.p....F.C"
"286","1.759581","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-98 dBm","62 dB","104","QoS Data, SN=1709, FN=0, Flags=.p....F.C"
"314","1.876194","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-98 dBm","62 dB","104","QoS Data, SN=1710, FN=0, Flags=.p....F.C"
"332","1.988913","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-98 dBm","61 dB","104","QoS Data, SN=1711, FN=0, Flags=.p....F.C"
"350","2.077643","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-32 dBm","-98 dBm","66 dB","52","QoS Data, SN=1712, FN=0, Flags=.p....F.C"
"364","2.175245","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-98 dBm","61 dB","115.556","QoS Data, SN=1713, FN=0, Flags=.p....F.C"
"376","2.267085","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-98 dBm","62 dB","115.556","QoS Data, SN=1714, FN=0, Flags=.p....F.C"
"399","2.378588","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-98 dBm","64 dB","39","QoS Data, SN=1715, FN=0, Flags=.p..R.F.C"
"462","2.618276","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-28 dBm","-98 dBm","70 dB","115.556","QoS Data, SN=1716, FN=0, Flags=.p....F.C"
"464","2.619348","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-98 dBm","64 dB","115.556","QoS Data, SN=1717, FN=0, Flags=.p....F.C"
"476","2.685217","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-98 dBm","64 dB","115.556","QoS Data, SN=1718, FN=0, Flags=.p....F.C"
"525","2.879097","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-98 dBm","64 dB","115.556","QoS Data, SN=1719, FN=0, Flags=.p....F.C"
"532","2.905160","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-98 dBm","64 dB","115.556","QoS Data, SN=1720, FN=0, Flags=.p....F.C"
"549","2.997395","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-98 dBm","64 dB","115.556","QoS Data, SN=1721, FN=0, Flags=.p....F.C"
"564","3.131172","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-98 dBm","64 dB","115.556","QoS Data, SN=1722, FN=0, Flags=.p....F.C"
"571","3.196367","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-98 dBm","64 dB","115.556","QoS Data, SN=1723, FN=0, Flags=.p....F.C"
"596","3.311539","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-98 dBm","63 dB","115.556","QoS Data, SN=1724, FN=0, Flags=.p....F.C"
"606","3.403710","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-29 dBm","-98 dBm","69 dB","115.556","QoS Data, SN=1725, FN=0, Flags=.p....F.C"
"621","3.506577","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-98 dBm","64 dB","115.556","QoS Data, SN=1726, FN=0, Flags=.p....F.C"
"638","3.616195","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-98 dBm","63 dB","115.556","QoS Data, SN=1727, FN=0, Flags=.p....F.C"
"649","3.674436","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","142","-34 dBm","-98 dBm","64 dB","115.556","QoS Data, SN=1730, FN=0, Flags=.p....F.C"
"673","3.749321","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","142","-35 dBm","-98 dBm","63 dB","115.556","QoS Data, SN=1731, FN=0, Flags=.p....F.C"
"675","3.750029","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-98 dBm","63 dB","115.556","QoS Data, SN=1732, FN=0, Flags=.p....F.C"
"689","3.814130","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-98 dBm","64 dB","115.556","QoS Data, SN=1733, FN=0, Flags=.p....F.C"
"711","3.952687","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-98 dBm","63 dB","115.556","QoS Data, SN=1734, FN=0, Flags=.p....F.C"
"719","4.033773","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-30 dBm","-98 dBm","68 dB","115.556","QoS Data, SN=1735, FN=0, Flags=.p....F.C"
"736","4.121364","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-98 dBm","64 dB","117","QoS Data, SN=1736, FN=0, Flags=.p....F.C"
"754","4.223753","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-98 dBm","63 dB","117","QoS Data, SN=1737, FN=0, Flags=.p....F.C"
"763","4.303218","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-34 dBm","-98 dBm","64 dB","117","QoS Data, SN=1738, FN=0, Flags=.p....F.C"
"773","4.324649","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-98 dBm","64 dB","78","QoS Data, SN=1739, FN=0, Flags=.p..R.F.C"
"793","4.473992","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-98 dBm","64 dB","104","QoS Data, SN=1740, FN=0, Flags=.p....F.C"
"799","4.519128","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","182","-30 dBm","-98 dBm","68 dB","104","QoS Data, SN=1742, FN=0, Flags=.p....F.C"
"828","4.646137","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-98 dBm","64 dB","26","QoS Data, SN=1743, FN=0, Flags=.p..R.F.C"
"843","4.735860","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-98 dBm","64 dB","78","QoS Data, SN=1744, FN=0, Flags=.p....F.C"
"858","4.837689","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-32 dBm","-98 dBm","66 dB","78","QoS Data, SN=1745, FN=0, Flags=.p..R.F.C"
"872","4.938776","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-98 dBm","64 dB","78","QoS Data, SN=1746, FN=0, Flags=.p....F.C"
"890","5.075882","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-98 dBm","64 dB","78","QoS Data, SN=1747, FN=0, Flags=.p....F.C"
"902","5.151079","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-98 dBm","64 dB","78","QoS Data, SN=1748, FN=0, Flags=.p....F.C"
"912","5.189396","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","177","-34 dBm","-98 dBm","64 dB","78","QoS Data, SN=1749, FN=0, Flags=.p....F.C"
"930","5.245891","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-98 dBm","64 dB","78","QoS Data, SN=1750, FN=0, Flags=.p....F.C"
"931","5.246068","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","162","-34 dBm","-98 dBm","64 dB","78","QoS Data, SN=196, FN=0, Flags=.p....F.C"
"942","5.281399","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-34 dBm","-98 dBm","64 dB","78","QoS Data, SN=197, FN=0, Flags=.p....F.C"
"958","5.374980","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-98 dBm","64 dB","13","QoS Data, SN=1751, FN=0, Flags=.p..R.F.C"
"968","5.451824","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-98 dBm","64 dB","78","QoS Data, SN=1752, FN=0, Flags=.p....F.C"
"987","5.555070","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-98 dBm","64 dB","86.6667","QoS Data, SN=1753, FN=0, Flags=.p....F.C"
"1005","5.693013","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-98 dBm","64 dB","86.6667","QoS Data, SN=1754, FN=0, Flags=.p....F.C"
"1020","5.758632","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-98 dBm","64 dB","86.6667","QoS Data, SN=1755, FN=0, Flags=.p..R.F.C"
"1029","5.878507","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-98 dBm","63 dB","86.6667","QoS Data, SN=1756, FN=0, Flags=.p....F.C"
"1044","5.979650","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-98 dBm","63 dB","86.6667","QoS Data, SN=1757, FN=0, Flags=.p....F.C"
