"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"5","0.001814","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-101 dBm","61 dB","144.444","QoS Data, SN=3452, FN=0, Flags=.p..R.F.C"
"35","0.161629","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-101 dBm","62 dB","144.444","QoS Data, SN=3454, FN=0, Flags=.p....F.C"
"51","0.208852","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-101 dBm","62 dB","144.444","QoS Data, SN=3455, FN=0, Flags=.p....F.C"
"60","0.305911","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-101 dBm","60 dB","144.444","QoS Data, SN=3456, FN=0, Flags=.p....F.C"
"71","0.407817","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=3457, FN=0, Flags=.p....F.C"
"79","0.508190","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-101 dBm","64 dB","144.444","QoS Data, SN=3458, FN=0, Flags=.p....F.C"
"93","0.624205","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=3459, FN=0, Flags=.p....F.C"
"103","0.715034","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-101 dBm","65 dB","144.444","QoS Data, SN=3460, FN=0, Flags=.p....F.C"
"128","1.027011","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-101 dBm","64 dB","144.444","QoS Data, SN=3461, FN=0, Flags=.p....F.C"
"136","1.124744","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-101 dBm","64 dB","144.444","QoS Data, SN=3462, FN=0, Flags=.p....F.C"
"145","1.225027","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=3463, FN=0, Flags=.p....F.C"
"154","1.329283","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=3464, FN=0, Flags=.p....F.C"
"163","1.433435","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-101 dBm","65 dB","144.444","QoS Data, SN=3465, FN=0, Flags=.p....F.C"
"179","1.538600","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=3466, FN=0, Flags=.p....F.C"
"188","1.635527","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=3467, FN=0, Flags=.p....F.C"
"202","1.738451","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-101 dBm","62 dB","144.444","QoS Data, SN=3468, FN=0, Flags=.p....F.C"
"214","1.839388","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=3469, FN=0, Flags=.p....F.C"
"222","1.941845","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=3470, FN=0, Flags=.p....F.C"
"244","2.057811","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","57.7778","QoS Data, SN=3471, FN=0, Flags=.p....F.C"
"254","2.146635","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=3472, FN=0, Flags=.p....F.C"
"263","2.250221","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=3473, FN=0, Flags=.p....F.C"
"274","2.355079","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-101 dBm","65 dB","144.444","QoS Data, SN=3474, FN=0, Flags=.p....F.C"
"283","2.457116","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=3475, FN=0, Flags=.p....F.C"
"292","2.561851","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=3476, FN=0, Flags=.p....F.C"
"301","2.666278","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-101 dBm","62 dB","144.444","QoS Data, SN=3477, FN=0, Flags=.p....F.C"
"314","2.770981","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=3478, FN=0, Flags=.p..R.F.C"
"322","2.874779","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-101 dBm","62 dB","144.444","QoS Data, SN=3479, FN=0, Flags=.p....F.C"
"331","2.981531","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-101 dBm","62 dB","144.444","QoS Data, SN=3480, FN=0, Flags=.p....F.C"
"333","2.981685","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=3480, FN=0, Flags=.p..R.F.C"
"347","3.084162","2e:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-101 dBm","62 dB","144.444","QoS Data, SN=3481, FN=0, Flags=.p..R.F.C"
"349","3.084304","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-101 dBm","62 dB","86.6667","QoS Data, SN=3481, FN=0, Flags=.p..R.F.C"
"357","3.185848","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-101 dBm","62 dB","144.444","QoS Data, SN=3482, FN=0, Flags=.p....F.C"
"366","3.288527","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-101 dBm","62 dB","144.444","QoS Data, SN=3483, FN=0, Flags=.p....F.C"
"377","3.392557","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-101 dBm","62 dB","144.444","QoS Data, SN=3484, FN=0, Flags=.p....F.C"
"383","3.429900","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","191","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=3485, FN=0, Flags=.p....F.C"
"389","3.457431","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","162","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=42, FN=0, Flags=.p....F.C"
"397","3.493140","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-39 dBm","-101 dBm","62 dB","144.444","QoS Data, SN=3486, FN=0, Flags=.p....F.C"
"401","3.496379","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-101 dBm","62 dB","144.444","QoS Data, SN=3487, FN=0, Flags=.p....F.C"
"403","3.497659","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","366","-39 dBm","-101 dBm","62 dB","144.444","QoS Data, SN=3488, FN=0, Flags=.p....F.C"
"417","3.532334","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","234","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=3491, FN=0, Flags=.p....F.C"
"425","3.537713","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-39 dBm","-101 dBm","62 dB","144.444","QoS Data, SN=3495, FN=0, Flags=.p....F.C"
"431","3.555984","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-39 dBm","-101 dBm","62 dB","144.444","QoS Data, SN=3496, FN=0, Flags=.p....F.C"
"439","3.604795","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-101 dBm","62 dB","144.444","QoS Data, SN=3497, FN=0, Flags=.p....F.C"
"454","3.703911","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-101 dBm","62 dB","144.444","QoS Data, SN=3498, FN=0, Flags=.p....F.C"
"457","3.737138","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","1192","-39 dBm","-101 dBm","62 dB","144.444","QoS Data, SN=3499, FN=0, Flags=.p....F.C"
"468","3.809641","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-101 dBm","64 dB","144.444","QoS Data, SN=3500, FN=0, Flags=.p....F.C"
"478","3.924134","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-101 dBm","62 dB","144.444","QoS Data, SN=3501, FN=0, Flags=.p....F.C"
"489","4.016123","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-101 dBm","62 dB","144.444","QoS Data, SN=3502, FN=0, Flags=.p....F.C"
"507","4.117725","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-101 dBm","64 dB","144.444","QoS Data, SN=3503, FN=0, Flags=.p....F.C"
"517","4.221973","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-101 dBm","62 dB","144.444","QoS Data, SN=3504, FN=0, Flags=.p..R.F.C"
"528","4.329702","2a:c7:09:5b:dd:64","Apple_08:a2:51","802.11","186","-39 dBm","-101 dBm","62 dB","144.444","QoS Data, SN=3505, FN=0, Flags=.p....F.C"
