"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"11","0.074631","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-44 dBm","-93 dBm","49 dB","144.444","QoS Data, SN=2489, FN=0, Flags=.p....F.C"
"22","0.178180","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-46 dBm","-93 dBm","47 dB","144.444","QoS Data, SN=2490, FN=0, Flags=.p....F.C"
"29","0.281222","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-45 dBm","-93 dBm","48 dB","144.444","QoS Data, SN=2491, FN=0, Flags=.p....F.C"
"41","0.404793","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-45 dBm","-93 dBm","48 dB","144.444","QoS Data, SN=2492, FN=0, Flags=.p....F.C"
"55","0.489538","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-44 dBm","-93 dBm","49 dB","144.444","QoS Data, SN=2493, FN=0, Flags=.p....F.C"
"70","0.592623","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-47 dBm","-93 dBm","46 dB","144.444","QoS Data, SN=2494, FN=0, Flags=.p....F.C"
"90","0.736630","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=2495, FN=0, Flags=.p..R.F.C"
"108","0.799262","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-93 dBm","54 dB","144.444","QoS Data, SN=2496, FN=0, Flags=.p....F.C"
"115","0.895510","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-93 dBm","56 dB","144.444","QoS Data, SN=2497, FN=0, Flags=.p....F.C"
"126","1.001943","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-93 dBm","55 dB","144.444","QoS Data, SN=2498, FN=0, Flags=.p....F.C"
"148","1.105473","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-93 dBm","54 dB","144.444","QoS Data, SN=2499, FN=0, Flags=.p....F.C"
"165","1.233844","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=2500, FN=0, Flags=.p....F.C"
"176","1.309503","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-93 dBm","54 dB","144.444","QoS Data, SN=2501, FN=0, Flags=.p....F.C"
"185","1.410548","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=2502, FN=0, Flags=.p....F.C"
"196","1.536466","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=2503, FN=0, Flags=.p....F.C"
"204","1.617380","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=2504, FN=0, Flags=.p....F.C"
