"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"16","0.071678","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-89 dBm","50 dB","144.444","QoS Data, SN=2236, FN=0, Flags=.p....F.C"
"29","0.166612","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-89 dBm","50 dB","144.444","QoS Data, SN=2237, FN=0, Flags=.p....F.C"
"45","0.269305","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-89 dBm","50 dB","144.444","QoS Data, SN=2238, FN=0, Flags=.p....F.C"
"57","0.370675","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-89 dBm","49 dB","144.444","QoS Data, SN=2239, FN=0, Flags=.p....F.C"
"70","0.470614","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-89 dBm","48 dB","144.444","QoS Data, SN=2240, FN=0, Flags=.p....F.C"
"107","0.610682","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-89 dBm","49 dB","86.6667","QoS Data, SN=2241, FN=0, Flags=.p....F.C"
"122","0.675728","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-89 dBm","48 dB","144.444","QoS Data, SN=2242, FN=0, Flags=.p....F.C"
"138","0.778104","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-44 dBm","-89 dBm","45 dB","144.444","QoS Data, SN=2243, FN=0, Flags=.p....F.C"
"168","0.887043","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-46 dBm","-89 dBm","43 dB","86.6667","QoS Data, SN=2244, FN=0, Flags=.p..R.F.C"
"187","0.978823","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-44 dBm","-89 dBm","45 dB","144.444","QoS Data, SN=2245, FN=0, Flags=.p....F.C"
"202","1.080417","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-89 dBm","48 dB","144.444","QoS Data, SN=2246, FN=0, Flags=.p....F.C"
"224","1.192879","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-89 dBm","51 dB","144.444","QoS Data, SN=2247, FN=0, Flags=.p..R.F.C"
"243","1.308923","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-89 dBm","50 dB","144.444","QoS Data, SN=2248, FN=0, Flags=.p....F.C"
"264","1.398082","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-89 dBm","51 dB","144.444","QoS Data, SN=2249, FN=0, Flags=.p..R.F.C"
"290","1.504032","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-89 dBm","51 dB","144.444","QoS Data, SN=2250, FN=0, Flags=.p....F.C"
"306","1.597994","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-89 dBm","50 dB","144.444","QoS Data, SN=2251, FN=0, Flags=.p....F.C"
"323","1.700295","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-89 dBm","50 dB","144.444","QoS Data, SN=2252, FN=0, Flags=.p....F.C"
"347","1.808633","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-89 dBm","49 dB","144.444","QoS Data, SN=2253, FN=0, Flags=.p....F.C"
"388","1.966630","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-89 dBm","49 dB","144.444","QoS Data, SN=2254, FN=0, Flags=.p....F.C"
"406","2.040009","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-89 dBm","50 dB","144.444","QoS Data, SN=2255, FN=0, Flags=.p....F.C"
"435","2.164063","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-89 dBm","52 dB","144.444","QoS Data, SN=2256, FN=0, Flags=.p..R.F.C"
"446","2.211651","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-89 dBm","50 dB","144.444","QoS Data, SN=2257, FN=0, Flags=.p....F.C"
"473","2.313043","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-89 dBm","51 dB","86.6667","QoS Data, SN=2258, FN=0, Flags=.p..R.F.C"
"501","2.418907","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-89 dBm","49 dB","86.6667","QoS Data, SN=2259, FN=0, Flags=.p..R.F.C"
