"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"7","0.015935","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-83 dBm","42 dB","144.444","QoS Data, SN=3581, FN=0, Flags=.p....F.C"
"22","0.120702","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-83 dBm","43 dB","144.444","QoS Data, SN=3582, FN=0, Flags=.p....F.C"
"55","0.223123","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-83 dBm","42 dB","144.444","QoS Data, SN=3583, FN=0, Flags=.p....F.C"
"114","0.326633","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-83 dBm","45 dB","144.444","QoS Data, SN=3584, FN=0, Flags=.p....F.C"
"148","0.426165","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-83 dBm","47 dB","144.444","QoS Data, SN=3585, FN=0, Flags=.p....F.C"
"176","0.529824","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-83 dBm","47 dB","144.444","QoS Data, SN=3586, FN=0, Flags=.p....F.C"
"199","0.631917","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-83 dBm","46 dB","144.444","QoS Data, SN=3587, FN=0, Flags=.p....F.C"
"236","0.733399","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-83 dBm","47 dB","144.444","QoS Data, SN=3588, FN=0, Flags=.p....F.C"
"291","0.836608","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-83 dBm","47 dB","144.444","QoS Data, SN=3589, FN=0, Flags=.p....F.C"
"318","0.945499","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-83 dBm","47 dB","144.444","QoS Data, SN=3590, FN=0, Flags=.p....F.C"
"335","1.038058","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-83 dBm","47 dB","144.444","QoS Data, SN=3591, FN=0, Flags=.p....F.C"
"337","1.039893","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-83 dBm","47 dB","144.444","QoS Data, SN=3591, FN=0, Flags=.p..R.F.C"
"340","1.057970","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-36 dBm","-83 dBm","47 dB","144.444","QoS Data, SN=3592, FN=0, Flags=.p....F.C"
"360","1.146574","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-83 dBm","47 dB","144.444","QoS Data, SN=3593, FN=0, Flags=.p....F.C"
"379","1.246615","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-83 dBm","46 dB","144.444","QoS Data, SN=3594, FN=0, Flags=.p....F.C"
"399","1.329165","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","185","-37 dBm","-83 dBm","46 dB","144.444","QoS Data, SN=3595, FN=0, Flags=.p....F.C"
"409","1.349332","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-83 dBm","46 dB","144.444","QoS Data, SN=3596, FN=0, Flags=.p....F.C"
"440","1.449985","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-83 dBm","46 dB","144.444","QoS Data, SN=3597, FN=0, Flags=.p....F.C"
"479","1.558026","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-83 dBm","46 dB","144.444","QoS Data, SN=3598, FN=0, Flags=.p....F.C"
"521","1.659372","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-83 dBm","44 dB","144.444","QoS Data, SN=3599, FN=0, Flags=.p....F.C"
"535","1.760475","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-83 dBm","44 dB","144.444","QoS Data, SN=3600, FN=0, Flags=.p....F.C"
"554","1.885000","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-83 dBm","43 dB","144.444","QoS Data, SN=3601, FN=0, Flags=.p....F.C"
"620","2.004018","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-83 dBm","43 dB","144.444","QoS Data, SN=3602, FN=0, Flags=.p....F.C"
"629","2.067080","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-83 dBm","42 dB","144.444","QoS Data, SN=3603, FN=0, Flags=.p....F.C"
"666","2.177533","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-83 dBm","46 dB","144.444","QoS Data, SN=3604, FN=0, Flags=.p....F.C"
"707","2.278749","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-83 dBm","44 dB","144.444","QoS Data, SN=3605, FN=0, Flags=.p....F.C"
"710","2.279685","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-83 dBm","43 dB","86.6667","QoS Data, SN=3605, FN=0, Flags=.p..R.F.C"
"746","2.381790","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-83 dBm","44 dB","144.444","QoS Data, SN=3606, FN=0, Flags=.p....F.C"
"797","2.492384","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-83 dBm","43 dB","144.444","QoS Data, SN=3607, FN=0, Flags=.p....F.C"
"824","2.586612","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-83 dBm","42 dB","144.444","QoS Data, SN=3608, FN=0, Flags=.p....F.C"
"899","2.698756","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-83 dBm","43 dB","144.444","QoS Data, SN=3609, FN=0, Flags=.p....F.C"
"921","2.788818","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-83 dBm","45 dB","144.444","QoS Data, SN=3610, FN=0, Flags=.p....F.C"
