"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"27","0.082929","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-92 dBm","52 dB","144.444","QoS Data, SN=3736, FN=0, Flags=.p....F.C"
"30","0.084338","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","142","-40 dBm","-92 dBm","52 dB","144.444","QoS Data, SN=3739, FN=0, Flags=.p....F.C"
"35","0.085087","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","142","-40 dBm","-92 dBm","52 dB","144.444","QoS Data, SN=3739, FN=0, Flags=.p..R.F.C"
"44","0.090391","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-40 dBm","-92 dBm","52 dB","144.444","QoS Data, SN=3740, FN=0, Flags=.p....F.C"
"48","0.107724","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","142","-41 dBm","-92 dBm","51 dB","144.444","QoS Data, SN=3742, FN=0, Flags=.p....F.C"
"71","0.288486","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","185","-40 dBm","-92 dBm","52 dB","144.444","QoS Data, SN=3743, FN=0, Flags=.p....F.C"
"80","0.291747","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-92 dBm","51 dB","86.6667","QoS Data, SN=3744, FN=0, Flags=.p..R.F.C"
"109","0.424271","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-92 dBm","52 dB","86.6667","QoS Data, SN=3745, FN=0, Flags=.p..R.F.C"
"151","0.541338","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-92 dBm","53 dB","144.444","QoS Data, SN=3746, FN=0, Flags=.p....F.C"
"185","0.641512","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-92 dBm","56 dB","144.444","QoS Data, SN=3747, FN=0, Flags=.p..R.F.C"
"199","0.704864","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-92 dBm","52 dB","144.444","QoS Data, SN=3748, FN=0, Flags=.p..R.F.C"
"220","0.808699","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-92 dBm","53 dB","144.444","QoS Data, SN=3749, FN=0, Flags=.p....F.C"
"243","0.936716","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-92 dBm","52 dB","144.444","QoS Data, SN=3750, FN=0, Flags=.p....F.C"
"257","1.020978","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-92 dBm","52 dB","144.444","QoS Data, SN=3751, FN=0, Flags=.p..R.F.C"
"289","1.130567","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-92 dBm","52 dB","144.444","QoS Data, SN=3752, FN=0, Flags=.p....F.C"
"316","1.240128","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-92 dBm","51 dB","144.444","QoS Data, SN=3753, FN=0, Flags=.p....F.C"
"328","1.315525","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-92 dBm","51 dB","144.444","QoS Data, SN=3754, FN=0, Flags=.p....F.C"
"350","1.418436","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-92 dBm","52 dB","144.444","QoS Data, SN=3755, FN=0, Flags=.p....F.C"
"379","1.535502","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-92 dBm","52 dB","144.444","QoS Data, SN=3756, FN=0, Flags=.p....F.C"
