"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"14","0.026050","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-44 dBm","-93 dBm","49 dB","144.444","QoS Data, SN=2743, FN=0, Flags=.p....F.C"
"37","0.121904","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-93 dBm","51 dB","144.444","QoS Data, SN=2744, FN=0, Flags=.p....F.C"
"60","0.221964","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=2745, FN=0, Flags=.p....F.C"
"83","0.325670","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-93 dBm","54 dB","144.444","QoS Data, SN=2746, FN=0, Flags=.p....F.C"
"109","0.425899","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-93 dBm","57 dB","144.444","QoS Data, SN=2747, FN=0, Flags=.p....F.C"
"130","0.527790","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-93 dBm","58 dB","144.444","QoS Data, SN=2748, FN=0, Flags=.p....F.C"
"153","0.632438","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-93 dBm","58 dB","144.444","QoS Data, SN=2749, FN=0, Flags=.p....F.C"
"175","0.736512","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-95 dBm","59 dB","144.444","QoS Data, SN=2750, FN=0, Flags=.p....F.C"
"191","0.835818","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-95 dBm","58 dB","144.444","QoS Data, SN=2751, FN=0, Flags=.p....F.C"
"209","0.936911","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-95 dBm","58 dB","144.444","QoS Data, SN=2752, FN=0, Flags=.p....F.C"
"229","1.040705","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=2753, FN=0, Flags=.p....F.C"
"255","1.144937","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-95 dBm","55 dB","144.444","QoS Data, SN=2754, FN=0, Flags=.p....F.C"
"276","1.247891","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-95 dBm","58 dB","144.444","QoS Data, SN=2755, FN=0, Flags=.p....F.C"
"308","1.349100","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=2756, FN=0, Flags=.p....F.C"
"330","1.442156","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=2757, FN=0, Flags=.p....F.C"
"368","1.556447","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-95 dBm","60 dB","144.444","QoS Data, SN=2758, FN=0, Flags=.p....F.C"
"386","1.653672","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-95 dBm","58 dB","144.444","QoS Data, SN=2759, FN=0, Flags=.p....F.C"
"429","1.801694","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-95 dBm","58 dB","144.444","QoS Data, SN=2760, FN=0, Flags=.p....F.C"
"443","1.859421","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-95 dBm","60 dB","144.444","QoS Data, SN=2761, FN=0, Flags=.p..R.F.C"
"468","1.970970","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-95 dBm","58 dB","144.444","QoS Data, SN=2762, FN=0, Flags=.p....F.C"
"470","1.974762","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-95 dBm","59 dB","144.444","QoS Data, SN=2762, FN=0, Flags=.p....F.C"
"488","2.069582","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-95 dBm","58 dB","144.444","QoS Data, SN=2763, FN=0, Flags=.p....F.C"
"514","2.166728","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-95 dBm","58 dB","144.444","QoS Data, SN=2764, FN=0, Flags=.p....F.C"
"531","2.267164","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-95 dBm","58 dB","144.444","QoS Data, SN=2765, FN=0, Flags=.p....F.C"
"551","2.371137","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-95 dBm","58 dB","144.444","QoS Data, SN=2766, FN=0, Flags=.p....F.C"
"575","2.490276","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=2767, FN=0, Flags=.p....F.C"
"600","2.580210","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=2768, FN=0, Flags=.p....F.C"
"616","2.678357","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=2769, FN=0, Flags=.p....F.C"
"639","2.780577","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=2770, FN=0, Flags=.p....F.C"
"663","2.881716","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=2771, FN=0, Flags=.p..R.F.C"
"684","2.985907","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-95 dBm","59 dB","144.444","QoS Data, SN=2772, FN=0, Flags=.p....F.C"
"700","3.079802","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=2773, FN=0, Flags=.p....F.C"
"730","3.180417","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=2774, FN=0, Flags=.p....F.C"
"765","3.314110","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-95 dBm","59 dB","144.444","QoS Data, SN=2775, FN=0, Flags=.p..R.F.C"
"778","3.384844","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-95 dBm","58 dB","144.444","QoS Data, SN=2776, FN=0, Flags=.p....F.C"
"802","3.497125","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-95 dBm","58 dB","144.444","QoS Data, SN=2777, FN=0, Flags=.p....F.C"
"821","3.592327","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-95 dBm","58 dB","144.444","QoS Data, SN=2778, FN=0, Flags=.p....F.C"
"860","3.720381","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-95 dBm","59 dB","144.444","QoS Data, SN=2779, FN=0, Flags=.p..R.F.C"
"882","3.804348","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-95 dBm","59 dB","144.444","QoS Data, SN=2780, FN=0, Flags=.p....F.C"
"901","3.907053","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-95 dBm","58 dB","144.444","QoS Data, SN=2781, FN=0, Flags=.p....F.C"
"920","4.009492","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=2782, FN=0, Flags=.p....F.C"
"938","4.112441","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-95 dBm","59 dB","144.444","QoS Data, SN=2783, FN=0, Flags=.p....F.C"
"965","4.213294","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-95 dBm","58 dB","144.444","QoS Data, SN=2784, FN=0, Flags=.p....F.C"
"982","4.316997","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-95 dBm","59 dB","144.444","QoS Data, SN=2785, FN=0, Flags=.p....F.C"
"999","4.417396","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-95 dBm","58 dB","144.444","QoS Data, SN=2786, FN=0, Flags=.p....F.C"
"1020","4.521564","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-95 dBm","58 dB","144.444","QoS Data, SN=2787, FN=0, Flags=.p....F.C"
"1036","4.623943","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-95 dBm","58 dB","144.444","QoS Data, SN=2788, FN=0, Flags=.p....F.C"
"1054","4.726364","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=2789, FN=0, Flags=.p....F.C"
"1076","4.829971","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=2790, FN=0, Flags=.p....F.C"
"1092","4.931526","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=2791, FN=0, Flags=.p....F.C"
"1112","5.032835","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=2792, FN=0, Flags=.p....F.C"
"1134","5.136692","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=2793, FN=0, Flags=.p....F.C"
"1144","5.181804","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","177","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=2794, FN=0, Flags=.p....F.C"
"1164","5.238141","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-95 dBm","55 dB","144.444","QoS Data, SN=2795, FN=0, Flags=.p....F.C"
"1167","5.246994","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","162","-40 dBm","-95 dBm","55 dB","144.444","QoS Data, SN=233, FN=0, Flags=.p....F.C"
"1178","5.280733","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-40 dBm","-95 dBm","55 dB","144.444","QoS Data, SN=234, FN=0, Flags=.p....F.C"
"1190","5.340629","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=2796, FN=0, Flags=.p....F.C"
