"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"8","0.016284","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-93 dBm","51 dB","144.444","QoS Data, SN=3764, FN=0, Flags=.p....F.C"
"15","0.096788","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=3765, FN=0, Flags=.p....F.C"
"28","0.197189","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=3766, FN=0, Flags=.p....F.C"
"53","0.327008","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-93 dBm","55 dB","144.444","QoS Data, SN=3767, FN=0, Flags=.p....F.C"
"69","0.441183","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-93 dBm","54 dB","144.444","QoS Data, SN=3768, FN=0, Flags=.p..R.F.C"
"84","0.510217","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-93 dBm","54 dB","144.444","QoS Data, SN=3769, FN=0, Flags=.p....F.C"
"95","0.608934","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-93 dBm","54 dB","144.444","QoS Data, SN=3770, FN=0, Flags=.p....F.C"
"110","0.736739","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-93 dBm","54 dB","144.444","QoS Data, SN=3771, FN=0, Flags=.p....F.C"
"118","0.814409","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=3772, FN=0, Flags=.p....F.C"
"126","0.918429","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-93 dBm","54 dB","144.444","QoS Data, SN=3773, FN=0, Flags=.p....F.C"
"144","1.036432","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=3774, FN=0, Flags=.p....F.C"
"152","1.123343","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-93 dBm","55 dB","144.444","QoS Data, SN=3775, FN=0, Flags=.p....F.C"
"165","1.226173","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=3776, FN=0, Flags=.p....F.C"
"186","1.332850","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-93 dBm","54 dB","144.444","QoS Data, SN=3777, FN=0, Flags=.p....F.C"
"202","1.450825","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","86.6667","QoS Data, SN=3778, FN=0, Flags=.p..R.F.C"
"212","1.529905","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-93 dBm","54 dB","144.444","QoS Data, SN=3779, FN=0, Flags=.p....F.C"
"221","1.634567","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=3780, FN=0, Flags=.p....F.C"
"228","1.739205","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=3781, FN=0, Flags=.p....F.C"
"234","1.842350","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=3782, FN=0, Flags=.p....F.C"
"242","1.942511","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=3783, FN=0, Flags=.p....F.C"
"249","2.044591","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=3784, FN=0, Flags=.p....F.C"
"257","2.146849","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=3785, FN=0, Flags=.p....F.C"
"267","2.246926","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=3786, FN=0, Flags=.p....F.C"
"278","2.371196","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=3787, FN=0, Flags=.p..R.F.C"
"294","2.555773","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-93 dBm","54 dB","86.6667","QoS Data, SN=3788, FN=0, Flags=.p..R.F.C"
"300","2.656302","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=3789, FN=0, Flags=.p....F.C"
"307","2.757178","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=3790, FN=0, Flags=.p....F.C"
"319","2.877385","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-93 dBm","55 dB","144.444","QoS Data, SN=3791, FN=0, Flags=.p....F.C"
"325","2.953486","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=3792, FN=0, Flags=.p....F.C"
"329","2.961926","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=3793, FN=0, Flags=.p....F.C"
"337","3.064162","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=3794, FN=0, Flags=.p....F.C"
"358","3.165116","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=3795, FN=0, Flags=.p....F.C"
"361","3.175924","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","182","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=3796, FN=0, Flags=.p....F.C"
"376","3.272984","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=3797, FN=0, Flags=.p....F.C"
"385","3.372063","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=3798, FN=0, Flags=.p....F.C"
"391","3.421103","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","142","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=3799, FN=0, Flags=.p....F.C"
"397","3.474679","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=3800, FN=0, Flags=.p....F.C"
"406","3.576871","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=3801, FN=0, Flags=.p....F.C"
"413","3.682087","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-93 dBm","54 dB","144.444","QoS Data, SN=3802, FN=0, Flags=.p....F.C"
"422","3.781887","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=3803, FN=0, Flags=.p....F.C"
"431","3.900789","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=3804, FN=0, Flags=.p....F.C"
"438","3.990063","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-93 dBm","54 dB","144.444","QoS Data, SN=3805, FN=0, Flags=.p....F.C"
"449","4.093588","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=3806, FN=0, Flags=.p....F.C"
"460","4.194953","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=3807, FN=0, Flags=.p....F.C"
"466","4.300236","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=3808, FN=0, Flags=.p....F.C"
"477","4.402838","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=3809, FN=0, Flags=.p....F.C"
"487","4.524861","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=3810, FN=0, Flags=.p....F.C"
"508","4.632912","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-93 dBm","55 dB","144.444","QoS Data, SN=3811, FN=0, Flags=.p....F.C"
"518","4.721132","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=3812, FN=0, Flags=.p....F.C"
"525","4.815518","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=3813, FN=0, Flags=.p....F.C"
"538","4.935427","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=3814, FN=0, Flags=.p....F.C"
"544","5.017633","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-93 dBm","51 dB","144.444","QoS Data, SN=3815, FN=0, Flags=.p....F.C"
"564","5.129385","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","57.7778","QoS Data, SN=3816, FN=0, Flags=.p....F.C"
"579","5.234563","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","177","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=3818, FN=0, Flags=.p....F.C"
"584","5.256029","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","162","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=451, FN=0, Flags=.p....F.C"
"590","5.282803","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-39 dBm","-93 dBm","54 dB","144.444","QoS Data, SN=452, FN=0, Flags=.p....F.C"
