"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"5","0.004094","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-45 dBm","-93 dBm","48 dB","144.444","QoS Data, SN=1158, FN=0, Flags=.p....F.C"
"21","0.107522","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-45 dBm","-93 dBm","48 dB","144.444","QoS Data, SN=1159, FN=0, Flags=.p....F.C"
"34","0.209902","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-46 dBm","-93 dBm","47 dB","144.444","QoS Data, SN=1160, FN=0, Flags=.p....F.C"
"48","0.311982","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-93 dBm","54 dB","144.444","QoS Data, SN=1161, FN=0, Flags=.p....F.C"
"61","0.415289","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-93 dBm","55 dB","144.444","QoS Data, SN=1162, FN=0, Flags=.p....F.C"
"85","0.551411","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-93 dBm","54 dB","144.444","QoS Data, SN=1163, FN=0, Flags=.p....F.C"
"95","0.620213","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=1164, FN=0, Flags=.p....F.C"
"111","0.724388","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=1165, FN=0, Flags=.p..R.F.C"
"128","0.850225","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=1166, FN=0, Flags=.p..R.F.C"
"137","0.930363","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-93 dBm","54 dB","144.444","QoS Data, SN=1167, FN=0, Flags=.p....F.C"
"147","0.980159","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","181","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=1170, FN=0, Flags=.p....F.C"
"160","1.012779","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","142","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=1172, FN=0, Flags=.p....F.C"
"171","1.050245","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=1173, FN=0, Flags=.p....F.C"
"182","1.149078","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=1174, FN=0, Flags=.p....F.C"
"196","1.235106","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=1175, FN=0, Flags=.p....F.C"
"210","1.338407","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=1176, FN=0, Flags=.p....F.C"
"230","1.454130","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=1177, FN=0, Flags=.p..R.F.C"
