"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"4","0.000204","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-92 dBm","56 dB","115.556","QoS Data, SN=3184, FN=0, Flags=.p....F.C"
"29","0.127849","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-92 dBm","53 dB","115.556","QoS Data, SN=3185, FN=0, Flags=.p..R.F.C"
"53","0.204749","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-80 dBm","40 dB","115.556","QoS Data, SN=3186, FN=0, Flags=.p....F.C"
"82","0.309581","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-80 dBm","43 dB","115.556","QoS Data, SN=3187, FN=0, Flags=.p....F.C"
"118","0.420180","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-80 dBm","42 dB","115.556","QoS Data, SN=3188, FN=0, Flags=.p....F.C"
"140","0.531815","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-33 dBm","-80 dBm","47 dB","115.556","QoS Data, SN=3189, FN=0, Flags=.p....F.C"
"168","0.612546","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-80 dBm","45 dB","115.556","QoS Data, SN=3190, FN=0, Flags=.p..R.F.C"
"205","0.718433","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-80 dBm","45 dB","115.556","QoS Data, SN=3191, FN=0, Flags=.p....F.C"
"244","0.816992","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-80 dBm","45 dB","57.7778","QoS Data, SN=3192, FN=0, Flags=.p....F.C"
"279","0.919923","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-80 dBm","44 dB","115.556","QoS Data, SN=3193, FN=0, Flags=.p....F.C"
"317","1.023165","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-80 dBm","44 dB","115.556","QoS Data, SN=3194, FN=0, Flags=.p....F.C"
"344","1.095433","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-35 dBm","-80 dBm","45 dB","115.556","QoS Data, SN=3195, FN=0, Flags=.p....F.C"
"360","1.124780","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-80 dBm","45 dB","57.7778","QoS Data, SN=3196, FN=0, Flags=.p....F.C"
"393","1.225840","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-80 dBm","44 dB","115.556","QoS Data, SN=3197, FN=0, Flags=.p....F.C"
"397","1.233229","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","201","-36 dBm","-80 dBm","44 dB","115.556","QoS Data, SN=3198, FN=0, Flags=.p....F.C"
"425","1.323165","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-80 dBm","44 dB","115.556","QoS Data, SN=3199, FN=0, Flags=.p....F.C"
"459","1.430188","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-80 dBm","45 dB","115.556","QoS Data, SN=3200, FN=0, Flags=.p....F.C"
"486","1.538374","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-80 dBm","43 dB","115.556","QoS Data, SN=3201, FN=0, Flags=.p....F.C"
"510","1.641489","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-80 dBm","43 dB","115.556","QoS Data, SN=3202, FN=0, Flags=.p....F.C"
"537","1.779005","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-80 dBm","43 dB","78","QoS Data, SN=3203, FN=0, Flags=.p....F.C"
"552","1.846661","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-80 dBm","42 dB","117","QoS Data, SN=3204, FN=0, Flags=.p....F.C"
"577","1.957661","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-80 dBm","44 dB","117","QoS Data, SN=3205, FN=0, Flags=.p....F.C"
"579","1.958168","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-80 dBm","44 dB","117","QoS Data, SN=3205, FN=0, Flags=.p..R.F.C"
"594","2.043931","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-80 dBm","43 dB","117","QoS Data, SN=3206, FN=0, Flags=.p....F.C"
"612","2.146492","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-80 dBm","43 dB","117","QoS Data, SN=3207, FN=0, Flags=.p....F.C"
"636","2.251157","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-80 dBm","43 dB","117","QoS Data, SN=3208, FN=0, Flags=.p....F.C"
"662","2.358883","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-80 dBm","44 dB","78","QoS Data, SN=3209, FN=0, Flags=.p..R.F.C"
"695","2.463255","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-80 dBm","44 dB","52","QoS Data, SN=3210, FN=0, Flags=.p....F.C"
"725","2.559637","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-80 dBm","45 dB","104","QoS Data, SN=3211, FN=0, Flags=.p....F.C"
"752","2.639756","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","142","-36 dBm","-80 dBm","44 dB","104","QoS Data, SN=3213, FN=0, Flags=.p....F.C"
"767","2.660461","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-80 dBm","44 dB","104","QoS Data, SN=3214, FN=0, Flags=.p..R.F.C"
"773","2.665547","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","142","-36 dBm","-80 dBm","44 dB","104","QoS Data, SN=3216, FN=0, Flags=.p....F.C"
"808","2.782468","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-80 dBm","44 dB","104","QoS Data, SN=3217, FN=0, Flags=.p..R.F.C"
"832","2.865488","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-80 dBm","46 dB","104","QoS Data, SN=3218, FN=0, Flags=.p....F.C"
"858","2.963442","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-80 dBm","44 dB","104","QoS Data, SN=3219, FN=0, Flags=.p....F.C"
