"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"15","0.049349","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-44 dBm","-90 dBm","46 dB","144.444","QoS Data, SN=2743, FN=0, Flags=.p....F.C"
"32","0.152688","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-44 dBm","-90 dBm","46 dB","144.444","QoS Data, SN=2744, FN=0, Flags=.p....F.C"
"49","0.256747","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-45 dBm","-90 dBm","45 dB","144.444","QoS Data, SN=2745, FN=0, Flags=.p....F.C"
"64","0.360826","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-44 dBm","-90 dBm","46 dB","86.6667","QoS Data, SN=2746, FN=0, Flags=.p..R.F.C"
"80","0.463090","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-90 dBm","49 dB","144.444","QoS Data, SN=2747, FN=0, Flags=.p....F.C"
"98","0.565228","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-45 dBm","-90 dBm","45 dB","144.444","QoS Data, SN=2748, FN=0, Flags=.p....F.C"
"114","0.670689","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-44 dBm","-90 dBm","46 dB","144.444","QoS Data, SN=2749, FN=0, Flags=.p....F.C"
"130","0.773489","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-43 dBm","-90 dBm","47 dB","144.444","QoS Data, SN=2750, FN=0, Flags=.p....F.C"
"154","0.880112","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-43 dBm","-90 dBm","47 dB","144.444","QoS Data, SN=2751, FN=0, Flags=.p....F.C"
"187","0.989144","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-90 dBm","51 dB","144.444","QoS Data, SN=2752, FN=0, Flags=.p....F.C"
"206","1.108397","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-90 dBm","49 dB","144.444","QoS Data, SN=2753, FN=0, Flags=.p....F.C"
"221","1.186759","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-90 dBm","49 dB","144.444","QoS Data, SN=2754, FN=0, Flags=.p....F.C"
"235","1.291730","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-43 dBm","-90 dBm","47 dB","144.444","QoS Data, SN=2755, FN=0, Flags=.p....F.C"
"250","1.393697","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-44 dBm","-90 dBm","46 dB","144.444","QoS Data, SN=2756, FN=0, Flags=.p....F.C"
"272","1.497542","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-43 dBm","-90 dBm","47 dB","144.444","QoS Data, SN=2757, FN=0, Flags=.p....F.C"
"289","1.603563","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-43 dBm","-90 dBm","47 dB","144.444","QoS Data, SN=2758, FN=0, Flags=.p....F.C"
"300","1.701314","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-90 dBm","49 dB","144.444","QoS Data, SN=2759, FN=0, Flags=.p....F.C"
"317","1.810160","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-90 dBm","49 dB","144.444","QoS Data, SN=2760, FN=0, Flags=.p....F.C"
"334","1.910886","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-90 dBm","49 dB","144.444","QoS Data, SN=2761, FN=0, Flags=.p....F.C"
"348","2.012997","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-90 dBm","49 dB","144.444","QoS Data, SN=2762, FN=0, Flags=.p....F.C"
"369","2.117968","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-90 dBm","49 dB","144.444","QoS Data, SN=2763, FN=0, Flags=.p....F.C"
"405","2.224921","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-90 dBm","49 dB","57.7778","QoS Data, SN=2764, FN=0, Flags=.p..R.F.C"
"427","2.322377","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-90 dBm","48 dB","144.444","QoS Data, SN=2765, FN=0, Flags=.p....F.C"
"448","2.424280","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-90 dBm","48 dB","144.444","QoS Data, SN=2766, FN=0, Flags=.p....F.C"
"462","2.520407","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-90 dBm","49 dB","144.444","QoS Data, SN=2767, FN=0, Flags=.p..R.F.C"
"475","2.627697","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-90 dBm","50 dB","144.444","QoS Data, SN=2768, FN=0, Flags=.p....F.C"
"485","2.671587","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","214","-42 dBm","-90 dBm","48 dB","144.444","QoS Data, SN=2769, FN=0, Flags=.p....F.C"
"496","2.724470","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-90 dBm","50 dB","144.444","QoS Data, SN=2770, FN=0, Flags=.p....F.C"
"512","2.840421","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-90 dBm","48 dB","144.444","QoS Data, SN=2771, FN=0, Flags=.p....F.C"
"533","2.951328","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-90 dBm","49 dB","144.444","QoS Data, SN=2772, FN=0, Flags=.p....F.C"
"548","3.037028","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-90 dBm","49 dB","144.444","QoS Data, SN=2773, FN=0, Flags=.p....F.C"
"550","3.045433","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-41 dBm","-90 dBm","49 dB","144.444","QoS Data, SN=2774, FN=0, Flags=.p....F.C"
"564","3.141378","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-90 dBm","49 dB","144.444","QoS Data, SN=2775, FN=0, Flags=.p....F.C"
"594","3.263577","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-90 dBm","48 dB","144.444","QoS Data, SN=2776, FN=0, Flags=.p....F.C"
"609","3.347718","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-90 dBm","48 dB","144.444","QoS Data, SN=2777, FN=0, Flags=.p....F.C"
"618","3.450977","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-90 dBm","49 dB","144.444","QoS Data, SN=2778, FN=0, Flags=.p....F.C"
"635","3.580054","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=2779, FN=0, Flags=.p....F.C"
"654","3.668490","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=2780, FN=0, Flags=.p....F.C"
"675","3.761548","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=2781, FN=0, Flags=.p....F.C"
"691","3.863342","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-93 dBm","51 dB","144.444","QoS Data, SN=2782, FN=0, Flags=.p....F.C"
"704","3.964199","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=2783, FN=0, Flags=.p....F.C"
"792","4.065407","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-93 dBm","51 dB","144.444","QoS Data, SN=2784, FN=0, Flags=.p....F.C"
"813","4.206395","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","86.6667","QoS Data, SN=2785, FN=0, Flags=.p..R.F.C"
"849","4.289262","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=2786, FN=0, Flags=.p....F.C"
"875","4.409118","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=2787, FN=0, Flags=.p..R.F.C"
"888","4.480342","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=2788, FN=0, Flags=.p....F.C"
"921","4.640502","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=2789, FN=0, Flags=.p..R.F.C"
"931","4.690931","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=2790, FN=0, Flags=.p....F.C"
"954","4.796228","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=2791, FN=0, Flags=.p....F.C"
"969","4.897948","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=2792, FN=0, Flags=.p....F.C"
"984","4.999229","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=2793, FN=0, Flags=.p....F.C"
"990","5.012416","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","163","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=2794, FN=0, Flags=.p....F.C"
"1010","5.065424","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","194","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=2795, FN=0, Flags=.p....F.C"
"1015","5.102240","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=2796, FN=0, Flags=.p....F.C"
"1029","5.183149","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","177","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=2797, FN=0, Flags=.p..R.F.C"
