"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"13","0.055477","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-101 dBm","59 dB","130","QoS Data, SN=3316, FN=0, Flags=.p....F.C"
"28","0.162417","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-101 dBm","61 dB","130","QoS Data, SN=3317, FN=0, Flags=.p....F.C"
"45","0.260795","2a:c7:09:5b:d9:64","Apple_08:a2:59","802.11","186","-39 dBm","-101 dBm","62 dB","130","QoS Data, SN=3318, FN=0, Flags=.p..R.F.C"
"49","0.261525","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-101 dBm","62 dB","52","QoS Data, SN=3318, FN=0, Flags=.p..R.F.C"
"64","0.368360","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-101 dBm","62 dB","130","QoS Data, SN=3319, FN=0, Flags=.p....F.C"
"80","0.470860","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-101 dBm","62 dB","130","QoS Data, SN=3320, FN=0, Flags=.p....F.C"
"94","0.568446","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-101 dBm","61 dB","78","QoS Data, SN=3321, FN=0, Flags=.p..R.F.C"
"104","0.667976","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-101 dBm","67 dB","130","QoS Data, SN=3322, FN=0, Flags=.p....F.C"
"114","0.769398","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-101 dBm","62 dB","130","QoS Data, SN=3323, FN=0, Flags=.p....F.C"
"124","0.871783","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","130","QoS Data, SN=3324, FN=0, Flags=.p....F.C"
"135","1.004477","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-33 dBm","-101 dBm","68 dB","78","QoS Data, SN=3325, FN=0, Flags=.p..R.F.C"
"149","1.077745","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","130","QoS Data, SN=3326, FN=0, Flags=.p....F.C"
"167","1.197995","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-101 dBm","65 dB","130","QoS Data, SN=3327, FN=0, Flags=.p....F.C"
"179","1.282406","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-101 dBm","65 dB","130","QoS Data, SN=3328, FN=0, Flags=.p....F.C"
"204","1.391423","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-101 dBm","67 dB","130","QoS Data, SN=3329, FN=0, Flags=.p....F.C"
"222","1.488304","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-101 dBm","67 dB","130","QoS Data, SN=3330, FN=0, Flags=.p....F.C"
"232","1.591525","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=3331, FN=0, Flags=.p....F.C"
"236","1.635781","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","142","-33 dBm","-101 dBm","68 dB","144.444","QoS Data, SN=3332, FN=0, Flags=.p....F.C"
"245","1.690251","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","78","QoS Data, SN=3333, FN=0, Flags=.p..R.F.C"
"252","1.791906","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-33 dBm","-101 dBm","68 dB","144.444","QoS Data, SN=3334, FN=0, Flags=.p....F.C"
"267","1.897997","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","78","QoS Data, SN=3335, FN=0, Flags=.p..R.F.C"
"283","2.000767","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=3336, FN=0, Flags=.p....F.C"
"291","2.102733","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=3337, FN=0, Flags=.p....F.C"
"303","2.239488","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","78","QoS Data, SN=3338, FN=0, Flags=.p..R.F.C"
"313","2.312010","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-101 dBm","65 dB","130","QoS Data, SN=3339, FN=0, Flags=.p....F.C"
"321","2.414479","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-101 dBm","65 dB","130","QoS Data, SN=3340, FN=0, Flags=.p....F.C"
"333","2.534793","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=3341, FN=0, Flags=.p....F.C"
"344","2.621217","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=3342, FN=0, Flags=.p....F.C"
"356","2.721747","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=3343, FN=0, Flags=.p....F.C"
"365","2.854276","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-101 dBm","67 dB","144.444","QoS Data, SN=3344, FN=0, Flags=.p....F.C"
"375","2.928384","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-101 dBm","67 dB","144.444","QoS Data, SN=3345, FN=0, Flags=.p....F.C"
"385","3.032241","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-101 dBm","67 dB","144.444","QoS Data, SN=3346, FN=0, Flags=.p....F.C"
"394","3.141437","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=3347, FN=0, Flags=.p....F.C"
"401","3.237452","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-31 dBm","-101 dBm","70 dB","144.444","QoS Data, SN=3348, FN=0, Flags=.p....F.C"
"410","3.338146","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-101 dBm","65 dB","144.444","QoS Data, SN=3349, FN=0, Flags=.p....F.C"
"422","3.442636","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=3350, FN=0, Flags=.p....F.C"
"430","3.544097","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=3351, FN=0, Flags=.p....F.C"
"441","3.647668","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-101 dBm","65 dB","130","QoS Data, SN=3352, FN=0, Flags=.p....F.C"
"453","3.763978","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","130","QoS Data, SN=3353, FN=0, Flags=.p....F.C"
"467","3.855429","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","130","QoS Data, SN=3354, FN=0, Flags=.p....F.C"
"484","3.959211","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-101 dBm","67 dB","130","QoS Data, SN=3355, FN=0, Flags=.p....F.C"
"502","4.058777","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-101 dBm","67 dB","130","QoS Data, SN=3356, FN=0, Flags=.p....F.C"
"512","4.161294","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-33 dBm","-101 dBm","68 dB","130","QoS Data, SN=3357, FN=0, Flags=.p....F.C"
"519","4.264546","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-101 dBm","67 dB","130","QoS Data, SN=3358, FN=0, Flags=.p....F.C"
"530","4.382045","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-101 dBm","67 dB","130","QoS Data, SN=3359, FN=0, Flags=.p....F.C"
"537","4.471647","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-101 dBm","67 dB","130","QoS Data, SN=3360, FN=0, Flags=.p....F.C"
"546","4.575725","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","130","QoS Data, SN=3361, FN=0, Flags=.p....F.C"
"555","4.675357","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-101 dBm","67 dB","144.444","QoS Data, SN=3362, FN=0, Flags=.p....F.C"
"562","4.777549","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-101 dBm","67 dB","144.444","QoS Data, SN=3363, FN=0, Flags=.p....F.C"
"576","4.885507","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-33 dBm","-101 dBm","68 dB","144.444","QoS Data, SN=3364, FN=0, Flags=.p....F.C"
"590","4.983426","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-33 dBm","-101 dBm","68 dB","144.444","QoS Data, SN=3365, FN=0, Flags=.p....F.C"
"601","5.085105","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-33 dBm","-101 dBm","68 dB","144.444","QoS Data, SN=3366, FN=0, Flags=.p....F.C"
"608","5.183180","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","177","-32 dBm","-101 dBm","69 dB","144.444","QoS Data, SN=3367, FN=0, Flags=.p....F.C"
"614","5.187524","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-32 dBm","-101 dBm","69 dB","144.444","QoS Data, SN=3368, FN=0, Flags=.p....F.C"
