"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"8","0.076205","aa:3d:0d:e7:5c:dd","Apple_08:a2:51","802.11","246","-44 dBm","-98 dBm","54 dB","1","Probe Response, SN=1166, FN=0, Flags=........C, BI=100, SSID=z5098300"
"12","0.085632","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-98 dBm","59 dB","144.444","QoS Data, SN=2272, FN=0, Flags=.p....F.C"
"23","0.189189","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-98 dBm","59 dB","144.444","QoS Data, SN=2273, FN=0, Flags=.p....F.C"
"34","0.288619","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-98 dBm","61 dB","144.444","QoS Data, SN=2274, FN=0, Flags=.p....F.C"
"47","0.389575","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-98 dBm","61 dB","144.444","QoS Data, SN=2275, FN=0, Flags=.p..R.F.C"
"63","0.490149","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","190","-38 dBm","-98 dBm","60 dB","144.444","QoS Data, SN=2276, FN=0, Flags=.p....F.C"
"65","0.490861","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-98 dBm","60 dB","144.444","QoS Data, SN=2277, FN=0, Flags=.p....F.C"
"72","0.599242","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-98 dBm","60 dB","144.444","QoS Data, SN=2278, FN=0, Flags=.p....F.C"
"82","0.698118","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-98 dBm","61 dB","144.444","QoS Data, SN=2279, FN=0, Flags=.p....F.C"
"93","0.801720","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-98 dBm","59 dB","144.444","QoS Data, SN=2280, FN=0, Flags=.p....F.C"
"104","0.904391","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-98 dBm","59 dB","144.444","QoS Data, SN=2281, FN=0, Flags=.p....F.C"
"113","0.979955","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-40 dBm","-98 dBm","58 dB","144.444","QoS Data, SN=250, FN=0, Flags=.p....F.C"
"119","1.007432","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-98 dBm","58 dB","144.444","QoS Data, SN=2282, FN=0, Flags=.p....F.C"
"130","1.133223","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-98 dBm","58 dB","144.444","QoS Data, SN=2283, FN=0, Flags=.p....F.C"
"140","1.238818","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-98 dBm","58 dB","144.444","QoS Data, SN=2284, FN=0, Flags=.p....F.C"
"157","1.335112","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-98 dBm","60 dB","144.444","QoS Data, SN=2285, FN=0, Flags=.p....F.C"
"172","1.420659","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-98 dBm","60 dB","144.444","QoS Data, SN=2286, FN=0, Flags=.p....F.C"
"182","1.521079","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-98 dBm","61 dB","144.444","QoS Data, SN=2287, FN=0, Flags=.p....F.C"
"202","1.678497","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-98 dBm","61 dB","144.444","QoS Data, SN=2288, FN=0, Flags=.p....F.C"
"208","1.733150","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-98 dBm","61 dB","144.444","QoS Data, SN=2289, FN=0, Flags=.p....F.C"
"231","1.849325","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-98 dBm","61 dB","144.444","QoS Data, SN=2290, FN=0, Flags=.p....F.C"
"247","1.931004","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-98 dBm","61 dB","144.444","QoS Data, SN=2291, FN=0, Flags=.p....F.C"
"257","2.027633","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-98 dBm","61 dB","144.444","QoS Data, SN=2292, FN=0, Flags=.p....F.C"
"269","2.131451","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-98 dBm","61 dB","144.444","QoS Data, SN=2293, FN=0, Flags=.p....F.C"
"277","2.241323","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-98 dBm","61 dB","144.444","QoS Data, SN=2294, FN=0, Flags=.p....F.C"
"285","2.341863","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-98 dBm","61 dB","144.444","QoS Data, SN=2295, FN=0, Flags=.p....F.C"
"298","2.441575","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-98 dBm","61 dB","144.444","QoS Data, SN=2296, FN=0, Flags=.p....F.C"
"314","2.543715","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-98 dBm","61 dB","144.444","QoS Data, SN=2297, FN=0, Flags=.p....F.C"
"330","2.665438","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-98 dBm","61 dB","144.444","QoS Data, SN=2298, FN=0, Flags=.p....F.C"
"344","2.768088","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-98 dBm","61 dB","144.444","QoS Data, SN=2299, FN=0, Flags=.p....F.C"
"358","2.857930","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-98 dBm","62 dB","144.444","QoS Data, SN=2300, FN=0, Flags=.p....F.C"
"375","3.001167","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-98 dBm","60 dB","86.6667","QoS Data, SN=2301, FN=0, Flags=.p..R.F.C"
"386","3.055868","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-98 dBm","61 dB","144.444","QoS Data, SN=2302, FN=0, Flags=.p....F.C"
"406","3.158626","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-98 dBm","61 dB","144.444","QoS Data, SN=2303, FN=0, Flags=.p....F.C"
"424","3.267539","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-98 dBm","61 dB","144.444","QoS Data, SN=2304, FN=0, Flags=.p....F.C"
"452","3.383130","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-98 dBm","60 dB","144.444","QoS Data, SN=2305, FN=0, Flags=.p....F.C"
"477","3.471866","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-98 dBm","60 dB","144.444","QoS Data, SN=2306, FN=0, Flags=.p....F.C"
"520","3.571208","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-98 dBm","60 dB","144.444","QoS Data, SN=2307, FN=0, Flags=.p....F.C"
"544","3.681487","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-98 dBm","61 dB","144.444","QoS Data, SN=2308, FN=0, Flags=.p....F.C"
"560","3.777355","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-98 dBm","60 dB","144.444","QoS Data, SN=2309, FN=0, Flags=.p....F.C"
"576","3.877528","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-98 dBm","60 dB","144.444","QoS Data, SN=2310, FN=0, Flags=.p....F.C"
"578","3.877912","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-98 dBm","60 dB","144.444","QoS Data, SN=2310, FN=0, Flags=.p..R.F.C"
"597","3.979671","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-98 dBm","60 dB","144.444","QoS Data, SN=2311, FN=0, Flags=.p....F.C"
"614","4.093565","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-98 dBm","60 dB","144.444","QoS Data, SN=2312, FN=0, Flags=.p....F.C"
"630","4.187723","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-98 dBm","60 dB","144.444","QoS Data, SN=2313, FN=0, Flags=.p....F.C"
"644","4.297213","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-98 dBm","60 dB","57.7778","QoS Data, SN=2314, FN=0, Flags=.p....F.C"
"662","4.396327","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-101 dBm","64 dB","144.444","QoS Data, SN=2315, FN=0, Flags=.p....F.C"
"677","4.495009","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=2316, FN=0, Flags=.p....F.C"
"697","4.599843","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","86.6667","QoS Data, SN=2317, FN=0, Flags=.p..R.F.C"
"720","4.700855","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=2318, FN=0, Flags=.p....F.C"
"737","4.807862","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=2319, FN=0, Flags=.p....F.C"
"740","4.808254","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","86.6667","QoS Data, SN=2319, FN=0, Flags=.p..R.F.C"
"758","4.918024","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=2320, FN=0, Flags=.p....F.C"
"763","4.960006","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","142","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=251, FN=0, Flags=.p....F.C"
"777","5.080597","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=2321, FN=0, Flags=.p....F.C"
"785","5.122824","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=2322, FN=0, Flags=.p....F.C"
"799","5.200397","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","177","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=2323, FN=0, Flags=.p....F.C"
"811","5.226302","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=2324, FN=0, Flags=.p....F.C"
"812","5.226441","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","162","-38 dBm","-101 dBm","63 dB","86.6667","QoS Data, SN=317, FN=0, Flags=.p....F.C"
"824","5.256795","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=318, FN=0, Flags=.p....F.C"
"849","5.355442","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=2325, FN=0, Flags=.p....F.C"
"857","5.430050","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=2326, FN=0, Flags=.p....F.C"
"875","5.532576","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=2327, FN=0, Flags=.p....F.C"
"895","5.644879","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=2328, FN=0, Flags=.p....F.C"
"923","5.737616","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=2329, FN=0, Flags=.p....F.C"
"933","5.841499","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-101 dBm","62 dB","144.444","QoS Data, SN=2330, FN=0, Flags=.p....F.C"
"958","5.980862","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=2331, FN=0, Flags=.p....F.C"
"970","6.044025","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=2332, FN=0, Flags=.p....F.C"
