"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"8","0.040994","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","205","-40 dBm","-95 dBm","55 dB","144.444","QoS Data, SN=370, FN=0, Flags=.p....F.C"
"19","0.066176","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-95 dBm","55 dB","144.444","QoS Data, SN=371, FN=0, Flags=.p....F.C"
"21","0.101377","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=372, FN=0, Flags=.p....F.C"
"27","0.150031","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-95 dBm","54 dB","144.444","QoS Data, SN=373, FN=0, Flags=.p....F.C"
"36","0.260298","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=374, FN=0, Flags=.p....F.C"
"43","0.310089","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","471","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=375, FN=0, Flags=.p....F.C"
"55","0.368595","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=376, FN=0, Flags=.p....F.C"
"61","0.461614","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=377, FN=0, Flags=.p....F.C"
"72","0.566605","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-95 dBm","55 dB","144.444","QoS Data, SN=378, FN=0, Flags=.p....F.C"
"89","0.669736","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-95 dBm","60 dB","144.444","QoS Data, SN=379, FN=0, Flags=.p....F.C"
"100","0.771845","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-95 dBm","59 dB","144.444","QoS Data, SN=380, FN=0, Flags=.p....F.C"
"109","0.871302","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-95 dBm","58 dB","144.444","QoS Data, SN=381, FN=0, Flags=.p....F.C"
