"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"19","0.076835","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-89 dBm","54 dB","144.444","QoS Data, SN=1663, FN=0, Flags=.p....F.C"
"40","0.176143","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-89 dBm","55 dB","144.444","QoS Data, SN=1664, FN=0, Flags=.p....F.C"
"64","0.283925","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-89 dBm","55 dB","144.444","QoS Data, SN=1665, FN=0, Flags=.p....F.C"
"85","0.387661","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-89 dBm","55 dB","144.444","QoS Data, SN=1666, FN=0, Flags=.p....F.C"
"98","0.488297","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-33 dBm","-89 dBm","56 dB","144.444","QoS Data, SN=1667, FN=0, Flags=.p....F.C"
"122","0.605865","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-89 dBm","55 dB","144.444","QoS Data, SN=1668, FN=0, Flags=.p....F.C"
"140","0.696607","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-89 dBm","55 dB","144.444","QoS Data, SN=1669, FN=0, Flags=.p....F.C"
"171","0.802378","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-33 dBm","-89 dBm","56 dB","144.444","QoS Data, SN=1670, FN=0, Flags=.p....F.C"
"227","0.934501","2a:c7:09:5b:cb:64","Apple_08:a2:51","802.11","186","-35 dBm","-89 dBm","54 dB","57.7778","QoS Data, SN=1671, FN=0, Flags=.p....F.C"
"236","0.939313","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-89 dBm","54 dB","43.3333","QoS Data, SN=1671, FN=0, Flags=.p..R.F.C"
"280","1.008073","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-89 dBm","53 dB","144.444","QoS Data, SN=1672, FN=0, Flags=.p....F.C"
"330","1.106245","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-89 dBm","52 dB","144.444","QoS Data, SN=1673, FN=0, Flags=.p....F.C"
"357","1.222169","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-89 dBm","54 dB","144.444","QoS Data, SN=1674, FN=0, Flags=.p....F.C"
"389","1.307577","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-89 dBm","52 dB","144.444","QoS Data, SN=1675, FN=0, Flags=.p....F.C"
"430","1.410305","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-89 dBm","53 dB","144.444","QoS Data, SN=1676, FN=0, Flags=.p....F.C"
"454","1.524616","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-89 dBm","52 dB","144.444","QoS Data, SN=1677, FN=0, Flags=.p....F.C"
"478","1.616310","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-89 dBm","53 dB","144.444","QoS Data, SN=1678, FN=0, Flags=.p....F.C"
"506","1.717311","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-89 dBm","53 dB","144.444","QoS Data, SN=1679, FN=0, Flags=.p....F.C"
"535","1.825738","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","142","-36 dBm","-89 dBm","53 dB","144.444","QoS Data, SN=1786, FN=0, Flags=.p....F.C"
