"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"25","0.084580","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-93 dBm","52 dB","144.444","QoS Data, SN=4041, FN=0, Flags=.p....F.C"
"35","0.161423","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-93 dBm","51 dB","144.444","QoS Data, SN=4042, FN=0, Flags=.p....F.C"
"46","0.262424","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-93 dBm","56 dB","144.444","QoS Data, SN=4043, FN=0, Flags=.p....F.C"
"64","0.377330","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-93 dBm","53 dB","144.444","QoS Data, SN=4044, FN=0, Flags=.p....F.C"
"81","0.465867","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-93 dBm","55 dB","144.444","QoS Data, SN=4045, FN=0, Flags=.p....F.C"
"107","0.573324","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-93 dBm","57 dB","144.444","QoS Data, SN=4046, FN=0, Flags=.p....F.C"
"127","0.681128","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-93 dBm","56 dB","144.444","QoS Data, SN=4047, FN=0, Flags=.p....F.C"
"142","0.779025","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-93 dBm","55 dB","144.444","QoS Data, SN=4048, FN=0, Flags=.p....F.C"
"186","0.874233","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-93 dBm","55 dB","144.444","QoS Data, SN=4049, FN=0, Flags=.p....F.C"
"199","0.980765","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-93 dBm","56 dB","144.444","QoS Data, SN=4050, FN=0, Flags=.p....F.C"
"230","1.126558","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-33 dBm","-93 dBm","60 dB","144.444","QoS Data, SN=4051, FN=0, Flags=.p....F.C"
"240","1.186698","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-93 dBm","59 dB","144.444","QoS Data, SN=4052, FN=0, Flags=.p....F.C"
"270","1.284646","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-93 dBm","59 dB","144.444","QoS Data, SN=4053, FN=0, Flags=.p....F.C"
"296","1.393505","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-93 dBm","56 dB","144.444","QoS Data, SN=4054, FN=0, Flags=.p....F.C"
"330","1.495158","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-93 dBm","56 dB","144.444","QoS Data, SN=4055, FN=0, Flags=.p....F.C"
"348","1.601638","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-93 dBm","56 dB","144.444","QoS Data, SN=4056, FN=0, Flags=.p....F.C"
"396","1.739139","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-93 dBm","56 dB","86.6667","QoS Data, SN=4057, FN=0, Flags=.p..R.F.C"
"400","1.803145","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-93 dBm","56 dB","144.444","QoS Data, SN=4058, FN=0, Flags=.p....F.C"
"426","1.901197","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-33 dBm","-93 dBm","60 dB","144.444","QoS Data, SN=4059, FN=0, Flags=.p....F.C"
"449","2.010131","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-31 dBm","-93 dBm","62 dB","144.444","QoS Data, SN=4060, FN=0, Flags=.p..R.F.C"
"475","2.111098","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-31 dBm","-93 dBm","62 dB","144.444","QoS Data, SN=4061, FN=0, Flags=.p....F.C"
"488","2.212334","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-30 dBm","-93 dBm","63 dB","144.444","QoS Data, SN=4062, FN=0, Flags=.p....F.C"
"504","2.314621","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-31 dBm","-93 dBm","62 dB","144.444","QoS Data, SN=4063, FN=0, Flags=.p....F.C"
"517","2.416630","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-31 dBm","-93 dBm","62 dB","144.444","QoS Data, SN=4064, FN=0, Flags=.p....F.C"
"534","2.520046","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-93 dBm","58 dB","144.444","QoS Data, SN=4065, FN=0, Flags=.p....F.C"
"558","2.624018","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-95 dBm","59 dB","144.444","QoS Data, SN=4066, FN=0, Flags=.p....F.C"
"593","2.723568","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-95 dBm","59 dB","144.444","QoS Data, SN=4067, FN=0, Flags=.p....F.C"
"616","2.827829","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=4068, FN=0, Flags=.p....F.C"
"637","2.925304","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-95 dBm","60 dB","144.444","QoS Data, SN=4069, FN=0, Flags=.p....F.C"
"649","3.030240","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-33 dBm","-95 dBm","62 dB","144.444","QoS Data, SN=4070, FN=0, Flags=.p....F.C"
"689","3.129783","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-95 dBm","60 dB","144.444","QoS Data, SN=4071, FN=0, Flags=.p....F.C"
"724","3.231249","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-33 dBm","-95 dBm","62 dB","144.444","QoS Data, SN=4072, FN=0, Flags=.p....F.C"
"747","3.340172","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-33 dBm","-95 dBm","62 dB","144.444","QoS Data, SN=4073, FN=0, Flags=.p....F.C"
"770","3.434919","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-95 dBm","59 dB","144.444","QoS Data, SN=4074, FN=0, Flags=.p....F.C"
"831","3.538876","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-95 dBm","59 dB","144.444","QoS Data, SN=4075, FN=0, Flags=.p....F.C"
"881","3.654611","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-95 dBm","60 dB","43.3333","QoS Data, SN=4076, FN=0, Flags=.p....F.C"
"908","3.741396","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-95 dBm","59 dB","144.444","QoS Data, SN=4077, FN=0, Flags=.p....F.C"
"938","3.841588","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-95 dBm","59 dB","144.444","QoS Data, SN=4078, FN=0, Flags=.p....F.C"
"959","3.946942","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-95 dBm","58 dB","144.444","QoS Data, SN=4079, FN=0, Flags=.p....F.C"
"971","4.050923","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-33 dBm","-95 dBm","62 dB","144.444","QoS Data, SN=4080, FN=0, Flags=.p....F.C"
"986","4.151478","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-33 dBm","-95 dBm","62 dB","144.444","QoS Data, SN=4081, FN=0, Flags=.p....F.C"
"998","4.257265","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-95 dBm","58 dB","144.444","QoS Data, SN=4082, FN=0, Flags=.p....F.C"
"1010","4.362919","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-32 dBm","-95 dBm","63 dB","144.444","QoS Data, SN=4083, FN=0, Flags=.p....F.C"
"1024","4.466435","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-32 dBm","-95 dBm","63 dB","144.444","QoS Data, SN=4084, FN=0, Flags=.p....F.C"
"1042","4.570774","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-32 dBm","-95 dBm","63 dB","144.444","QoS Data, SN=4085, FN=0, Flags=.p....F.C"
"1056","4.671622","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-31 dBm","-95 dBm","64 dB","144.444","QoS Data, SN=4086, FN=0, Flags=.p....F.C"
"1067","4.776976","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-31 dBm","-95 dBm","64 dB","144.444","QoS Data, SN=4087, FN=0, Flags=.p....F.C"
"1085","4.910277","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-95 dBm","58 dB","144.444","QoS Data, SN=4088, FN=0, Flags=.p....F.C"
"1100","4.986409","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-31 dBm","-95 dBm","64 dB","144.444","QoS Data, SN=4089, FN=0, Flags=.p....F.C"
"1119","5.091054","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-31 dBm","-95 dBm","64 dB","144.444","QoS Data, SN=4090, FN=0, Flags=.p....F.C"
"1138","5.191164","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-31 dBm","-95 dBm","64 dB","144.444","QoS Data, SN=4091, FN=0, Flags=.p....F.C"
"1154","5.308863","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-31 dBm","-95 dBm","64 dB","144.444","QoS Data, SN=4092, FN=0, Flags=.p....F.C"
"1165","5.409255","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-31 dBm","-95 dBm","64 dB","144.444","QoS Data, SN=4093, FN=0, Flags=.p....F.C"
"1180","5.507814","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-31 dBm","-95 dBm","64 dB","144.444","QoS Data, SN=4094, FN=0, Flags=.p....F.C"
"1191","5.611579","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-95 dBm","60 dB","144.444","QoS Data, SN=4095, FN=0, Flags=.p....F.C"
"1204","5.716505","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-95 dBm","60 dB","144.444","QoS Data, SN=0, FN=0, Flags=.p....F.C"
"1226","5.814748","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-95 dBm","60 dB","144.444","QoS Data, SN=1, FN=0, Flags=.p....F.C"
"1246","5.918896","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-95 dBm","60 dB","144.444","QoS Data, SN=2, FN=0, Flags=.p....F.C"
"1263","6.023626","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=3, FN=0, Flags=.p....F.C"
"1282","6.143527","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-95 dBm","60 dB","144.444","QoS Data, SN=4, FN=0, Flags=.p....F.C"
"1298","6.244918","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-95 dBm","60 dB","144.444","QoS Data, SN=5, FN=0, Flags=.p....F.C"
"1312","6.328459","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-95 dBm","60 dB","144.444","QoS Data, SN=6, FN=0, Flags=.p....F.C"
"1329","6.433593","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-95 dBm","60 dB","144.444","QoS Data, SN=7, FN=0, Flags=.p....F.C"
"1344","6.535479","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-95 dBm","60 dB","144.444","QoS Data, SN=8, FN=0, Flags=.p....F.C"
"1359","6.635723","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-32 dBm","-95 dBm","63 dB","144.444","QoS Data, SN=9, FN=0, Flags=.p....F.C"
"1376","6.738186","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-32 dBm","-95 dBm","63 dB","144.444","QoS Data, SN=10, FN=0, Flags=.p....F.C"
"1407","6.871786","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-31 dBm","-95 dBm","64 dB","57.7778","QoS Data, SN=11, FN=0, Flags=.p..R.F.C"
"1427","6.970564","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-95 dBm","60 dB","144.444","QoS Data, SN=12, FN=0, Flags=.p....F.C"
"1429","6.975891","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=12, FN=0, Flags=.p....F.C"
"1444","7.043869","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-31 dBm","-95 dBm","64 dB","144.444","QoS Data, SN=13, FN=0, Flags=.p....F.C"
"1462","7.146094","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-95 dBm","59 dB","144.444","QoS Data, SN=14, FN=0, Flags=.p....F.C"
"1490","7.273219","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-32 dBm","-95 dBm","63 dB","144.444","QoS Data, SN=15, FN=0, Flags=.p....F.C"
"1503","7.350819","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-32 dBm","-95 dBm","63 dB","144.444","QoS Data, SN=16, FN=0, Flags=.p....F.C"
"1516","7.457408","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-95 dBm","58 dB","144.444","QoS Data, SN=17, FN=0, Flags=.p....F.C"
"1533","7.555412","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-95 dBm","60 dB","144.444","QoS Data, SN=18, FN=0, Flags=.p....F.C"
"1553","7.673620","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-95 dBm","60 dB","144.444","QoS Data, SN=19, FN=0, Flags=.p....F.C"
"1561","7.751139","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-95 dBm","60 dB","144.444","QoS Data, SN=20, FN=0, Flags=.p....F.C"
"1577","7.852817","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-95 dBm","60 dB","144.444","QoS Data, SN=21, FN=0, Flags=.p....F.C"
"1602","7.969969","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-95 dBm","60 dB","86.6667","QoS Data, SN=22, FN=0, Flags=.p..R.F.C"
"1631","8.054977","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-95 dBm","60 dB","144.444","QoS Data, SN=23, FN=0, Flags=.p....F.C"
"1652","8.171489","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-95 dBm","60 dB","144.444","QoS Data, SN=24, FN=0, Flags=.p....F.C"
"1666","8.261517","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-95 dBm","57 dB","144.444","QoS Data, SN=25, FN=0, Flags=.p....F.C"
"1681","8.366172","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-95 dBm","60 dB","144.444","QoS Data, SN=26, FN=0, Flags=.p....F.C"
"1691","8.469343","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-95 dBm","59 dB","144.444","QoS Data, SN=27, FN=0, Flags=.p....F.C"
"1707","8.570926","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-93 dBm","57 dB","144.444","QoS Data, SN=28, FN=0, Flags=.p....F.C"
"1722","8.672514","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-93 dBm","57 dB","144.444","QoS Data, SN=29, FN=0, Flags=.p....F.C"
"1743","8.800946","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-93 dBm","58 dB","144.444","QoS Data, SN=30, FN=0, Flags=.p....F.C"
"1767","8.906465","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-93 dBm","55 dB","86.6667","QoS Data, SN=31, FN=0, Flags=.p..R.F.C"
"1778","8.993310","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-93 dBm","57 dB","144.444","QoS Data, SN=32, FN=0, Flags=.p....F.C"
"1796","9.095688","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-32 dBm","-93 dBm","61 dB","144.444","QoS Data, SN=33, FN=0, Flags=.p....F.C"
"1812","9.198126","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-33 dBm","-93 dBm","60 dB","144.444","QoS Data, SN=34, FN=0, Flags=.p....F.C"
