"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"12","0.039103","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-43 dBm","-81 dBm","38 dB","144.444","QoS Data, SN=3801, FN=0, Flags=.p....F.C"
"29","0.146215","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-81 dBm","39 dB","144.444","QoS Data, SN=3802, FN=0, Flags=.p....F.C"
"47","0.240927","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-81 dBm","39 dB","144.444","QoS Data, SN=3803, FN=0, Flags=.p....F.C"
"69","0.363502","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-81 dBm","41 dB","144.444","QoS Data, SN=3804, FN=0, Flags=.p....F.C"
"86","0.447275","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-81 dBm","41 dB","144.444","QoS Data, SN=3805, FN=0, Flags=.p....F.C"
"104","0.560528","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-81 dBm","41 dB","144.444","QoS Data, SN=3806, FN=0, Flags=.p....F.C"
"124","0.682143","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-81 dBm","40 dB","144.444","QoS Data, SN=3807, FN=0, Flags=.p....F.C"
"135","0.741571","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","142","-39 dBm","-81 dBm","42 dB","144.444","QoS Data, SN=3810, FN=0, Flags=.p....F.C"
"151","0.757298","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-81 dBm","43 dB","144.444","QoS Data, SN=3811, FN=0, Flags=.p..R.F.C"
"156","0.773082","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","142","-42 dBm","-81 dBm","39 dB","144.444","QoS Data, SN=3813, FN=0, Flags=.p....F.C"
"184","0.856965","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-81 dBm","39 dB","144.444","QoS Data, SN=3814, FN=0, Flags=.p....F.C"
"210","0.956543","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-43 dBm","-81 dBm","38 dB","144.444","QoS Data, SN=3815, FN=0, Flags=.p....F.C"
"234","1.058471","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-81 dBm","39 dB","144.444","QoS Data, SN=3816, FN=0, Flags=.p....F.C"
"253","1.164791","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-81 dBm","39 dB","144.444","QoS Data, SN=3817, FN=0, Flags=.p....F.C"
"275","1.267373","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-81 dBm","41 dB","86.6667","QoS Data, SN=3818, FN=0, Flags=.p..R.F.C"
"295","1.370876","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-43 dBm","-81 dBm","38 dB","144.444","QoS Data, SN=3819, FN=0, Flags=.p....F.C"
"314","1.480057","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-81 dBm","42 dB","144.444","QoS Data, SN=3820, FN=0, Flags=.p....F.C"
"333","1.574902","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-81 dBm","43 dB","144.444","QoS Data, SN=3821, FN=0, Flags=.p....F.C"
"353","1.679432","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-81 dBm","39 dB","144.444","QoS Data, SN=3822, FN=0, Flags=.p....F.C"
"371","1.783010","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-81 dBm","41 dB","144.444","QoS Data, SN=3823, FN=0, Flags=.p....F.C"
"395","1.882985","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-81 dBm","41 dB","144.444","QoS Data, SN=3824, FN=0, Flags=.p....F.C"
"411","1.988420","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-81 dBm","41 dB","144.444","QoS Data, SN=3825, FN=0, Flags=.p....F.C"
"446","2.132760","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-81 dBm","42 dB","57.7778","QoS Data, SN=3826, FN=0, Flags=.p....F.C"
"463","2.228648","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-81 dBm","42 dB","144.444","QoS Data, SN=3827, FN=0, Flags=.p....F.C"
"474","2.300303","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-81 dBm","41 dB","144.444","QoS Data, SN=3828, FN=0, Flags=.p....F.C"
"499","2.405285","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-81 dBm","40 dB","144.444","QoS Data, SN=3829, FN=0, Flags=.p....F.C"
