"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"9","0.034973","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-89 dBm","47 dB","130","QoS Data, SN=565, FN=0, Flags=.p....F.C"
"36","0.164156","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-89 dBm","50 dB","78","QoS Data, SN=566, FN=0, Flags=.p..R.F.C"
"43","0.178093","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","164","-37 dBm","-89 dBm","52 dB","130","QoS Data, SN=570, FN=0, Flags=.p....F.C"
"49","0.182836","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","1452","-37 dBm","-89 dBm","52 dB","130","QoS Data, SN=571, FN=0, Flags=.p....F.C"
"63","0.240611","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-89 dBm","51 dB","130","QoS Data, SN=572, FN=0, Flags=.p....F.C"
"86","0.344458","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-89 dBm","53 dB","130","QoS Data, SN=573, FN=0, Flags=.p....F.C"
"187","1.075390","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-89 dBm","53 dB","130","QoS Data, SN=580, FN=0, Flags=.p....F.C"
"198","1.163100","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-89 dBm","55 dB","130","QoS Data, SN=581, FN=0, Flags=.p....F.C"
"216","1.276660","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-89 dBm","53 dB","130","QoS Data, SN=582, FN=0, Flags=.p....F.C"
"242","1.384770","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-89 dBm","55 dB","144.444","QoS Data, SN=583, FN=0, Flags=.p....F.C"
"291","1.509194","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-89 dBm","50 dB","144.444","QoS Data, SN=584, FN=0, Flags=.p....F.C"
