"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"5","0.017637","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-99 dBm","57 dB","144.444","QoS Data, SN=1529, FN=0, Flags=.p....F.C"
"20","0.120507","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-99 dBm","58 dB","144.444","QoS Data, SN=1530, FN=0, Flags=.p....F.C"
"32","0.224159","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-99 dBm","60 dB","144.444","QoS Data, SN=1531, FN=0, Flags=.p....F.C"
"44","0.324970","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-99 dBm","60 dB","144.444","QoS Data, SN=1532, FN=0, Flags=.p....F.C"
"54","0.427329","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-99 dBm","62 dB","144.444","QoS Data, SN=1533, FN=0, Flags=.p....F.C"
"64","0.529860","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-99 dBm","59 dB","144.444","QoS Data, SN=1534, FN=0, Flags=.p....F.C"
"81","0.632194","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-99 dBm","57 dB","144.444","QoS Data, SN=1535, FN=0, Flags=.p....F.C"
"99","0.749602","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-99 dBm","63 dB","144.444","QoS Data, SN=1536, FN=0, Flags=.p....F.C"
"110","0.838657","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-99 dBm","59 dB","144.444","QoS Data, SN=1537, FN=0, Flags=.p....F.C"
"122","0.940595","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-99 dBm","58 dB","144.444","QoS Data, SN=1538, FN=0, Flags=.p....F.C"
"138","1.041742","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-99 dBm","58 dB","144.444","QoS Data, SN=1539, FN=0, Flags=.p....F.C"
"152","1.144120","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-99 dBm","58 dB","144.444","QoS Data, SN=1540, FN=0, Flags=.p....F.C"
"184","1.269620","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-99 dBm","58 dB","144.444","QoS Data, SN=1541, FN=0, Flags=.p....F.C"
"196","1.347894","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-99 dBm","58 dB","144.444","QoS Data, SN=1542, FN=0, Flags=.p....F.C"
"204","1.451978","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-99 dBm","57 dB","144.444","QoS Data, SN=1543, FN=0, Flags=.p....F.C"
"221","1.577960","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-99 dBm","58 dB","144.444","QoS Data, SN=1544, FN=0, Flags=.p....F.C"
"235","1.659708","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-99 dBm","58 dB","144.444","QoS Data, SN=1545, FN=0, Flags=.p....F.C"
"243","1.758827","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-99 dBm","57 dB","144.444","QoS Data, SN=1546, FN=0, Flags=.p....F.C"
"257","1.969650","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-99 dBm","58 dB","144.444","QoS Data, SN=1547, FN=0, Flags=.p....F.C"
"269","2.068115","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-99 dBm","58 dB","144.444","QoS Data, SN=1548, FN=0, Flags=.p....F.C"
"280","2.186431","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-99 dBm","62 dB","144.444","QoS Data, SN=1549, FN=0, Flags=.p....F.C"
"286","2.271556","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-99 dBm","59 dB","144.444","QoS Data, SN=1550, FN=0, Flags=.p....F.C"
"294","2.377447","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-99 dBm","59 dB","144.444","QoS Data, SN=1551, FN=0, Flags=.p....F.C"
"307","2.482008","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-99 dBm","58 dB","144.444","QoS Data, SN=1552, FN=0, Flags=.p....F.C"
"329","2.586362","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-99 dBm","58 dB","144.444","QoS Data, SN=1553, FN=0, Flags=.p....F.C"
"342","2.686965","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-99 dBm","58 dB","144.444","QoS Data, SN=1554, FN=0, Flags=.p....F.C"
"367","2.791503","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-99 dBm","58 dB","144.444","QoS Data, SN=1555, FN=0, Flags=.p....F.C"
"381","2.890113","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-99 dBm","57 dB","144.444","QoS Data, SN=1556, FN=0, Flags=.p....F.C"
"393","2.994960","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-99 dBm","61 dB","144.444","QoS Data, SN=1557, FN=0, Flags=.p....F.C"
"404","3.095702","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-99 dBm","58 dB","144.444","QoS Data, SN=1558, FN=0, Flags=.p....F.C"
"414","3.197974","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-99 dBm","58 dB","144.444","QoS Data, SN=1559, FN=0, Flags=.p....F.C"
"419","3.234132","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-41 dBm","-99 dBm","58 dB","144.444","QoS Data, SN=1560, FN=0, Flags=.p....F.C"
