"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"4","0.001795","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-92 dBm","58 dB","144.444","QoS Data, SN=3729, FN=0, Flags=.p....F.C"
"30","0.102290","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-92 dBm","58 dB","144.444","QoS Data, SN=3730, FN=0, Flags=.p....F.C"
"65","0.204480","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-33 dBm","-92 dBm","59 dB","144.444","QoS Data, SN=3731, FN=0, Flags=.p....F.C"
"102","0.309841","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-33 dBm","-92 dBm","59 dB","144.444","QoS Data, SN=3732, FN=0, Flags=.p....F.C"
"161","0.409937","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-33 dBm","-92 dBm","59 dB","144.444","QoS Data, SN=3733, FN=0, Flags=.p....F.C"
"181","0.525150","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-92 dBm","58 dB","144.444","QoS Data, SN=3734, FN=0, Flags=.p....F.C"
"193","0.614964","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-92 dBm","58 dB","144.444","QoS Data, SN=3735, FN=0, Flags=.p....F.C"
"211","0.718685","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-92 dBm","57 dB","144.444","QoS Data, SN=3736, FN=0, Flags=.p....F.C"
"245","0.827515","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-92 dBm","57 dB","144.444","QoS Data, SN=3737, FN=0, Flags=.p....F.C"
"261","0.925313","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-92 dBm","57 dB","144.444","QoS Data, SN=3738, FN=0, Flags=.p....F.C"
"295","1.031336","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-92 dBm","55 dB","144.444","QoS Data, SN=3739, FN=0, Flags=.p....F.C"
"316","1.115078","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","142","-35 dBm","-92 dBm","57 dB","144.444","QoS Data, SN=3740, FN=0, Flags=.p....F.C"
"326","1.128719","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-92 dBm","58 dB","144.444","QoS Data, SN=3741, FN=0, Flags=.p....F.C"
"337","1.159222","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","275","-35 dBm","-92 dBm","57 dB","144.444","QoS Data, SN=3742, FN=0, Flags=.p....F.C"
"372","1.227676","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-92 dBm","56 dB","144.444","QoS Data, SN=3743, FN=0, Flags=.p....F.C"
"375","1.246570","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","162","-35 dBm","-92 dBm","57 dB","144.444","QoS Data, SN=500, FN=0, Flags=.p....F.C"
"389","1.306064","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","1331","-35 dBm","-92 dBm","57 dB","86.6667","QoS Data, SN=3748, FN=0, Flags=.p....F.C"
"412","1.328382","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-92 dBm","56 dB","144.444","QoS Data, SN=3749, FN=0, Flags=.p....F.C"
"423","1.353793","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-35 dBm","-92 dBm","57 dB","144.444","QoS Data, SN=3750, FN=0, Flags=.p....F.C"
"427","1.359496","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","441","-35 dBm","-92 dBm","57 dB","144.444","QoS Data, SN=3752, FN=0, Flags=.p....F.C"
"433","1.365450","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","1347","-36 dBm","-92 dBm","56 dB","144.444","QoS Data, SN=3754, FN=0, Flags=.p....F.C"
"451","1.431888","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-92 dBm","57 dB","144.444","QoS Data, SN=3755, FN=0, Flags=.p....F.C"
