"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"13","0.032814","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-95 dBm","55 dB","144.444","QoS Data, SN=3236, FN=0, Flags=.p..R.F.C"
"34","0.103142","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-95 dBm","55 dB","144.444","QoS Data, SN=3237, FN=0, Flags=.p....F.C"
"65","0.190042","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-95 dBm","54 dB","86.6667","QoS Data, SN=3238, FN=0, Flags=.p..R.F.C"
"92","0.246722","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","142","-40 dBm","-95 dBm","55 dB","144.444","QoS Data, SN=327, FN=0, Flags=.p....F.C"
"112","0.314264","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-95 dBm","55 dB","57.7778","QoS Data, SN=3239, FN=0, Flags=.p..R.F.C"
"150","0.403769","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=3240, FN=0, Flags=.p....F.C"
"183","0.490198","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-95 dBm","55 dB","144.444","QoS Data, SN=3241, FN=0, Flags=.p....F.C"
"223","0.610837","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-95 dBm","56 dB","144.444","QoS Data, SN=3242, FN=0, Flags=.p....F.C"
"255","0.715413","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-90 dBm","50 dB","144.444","QoS Data, SN=3243, FN=0, Flags=.p..R.F.C"
"281","0.798530","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-90 dBm","50 dB","144.444","QoS Data, SN=3244, FN=0, Flags=.p....F.C"
"307","0.899656","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-90 dBm","52 dB","144.444","QoS Data, SN=3245, FN=0, Flags=.p....F.C"
