"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"19","0.088964","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-77 dBm","36 dB","144.444","QoS Data, SN=825, FN=0, Flags=.p....F.C"
"39","0.190801","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-42 dBm","-77 dBm","35 dB","144.444","QoS Data, SN=826, FN=0, Flags=.p....F.C"
"42","0.210318","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-41 dBm","-77 dBm","36 dB","144.444","QoS Data, SN=827, FN=0, Flags=.p....F.C"
"57","0.294243","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-77 dBm","41 dB","144.444","QoS Data, SN=828, FN=0, Flags=.p....F.C"
"103","0.401654","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-77 dBm","38 dB","43.3333","QoS Data, SN=829, FN=0, Flags=.p....F.C"
"107","0.434005","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","182","-40 dBm","-77 dBm","37 dB","144.444","QoS Data, SN=830, FN=0, Flags=.p....F.C"
"123","0.521781","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-77 dBm","37 dB","144.444","QoS Data, SN=831, FN=0, Flags=.p....F.C"
"141","0.615561","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-77 dBm","38 dB","144.444","QoS Data, SN=832, FN=0, Flags=.p....F.C"
"163","0.703351","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-77 dBm","36 dB","144.444","QoS Data, SN=833, FN=0, Flags=.p....F.C"
"184","0.824978","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-77 dBm","37 dB","144.444","QoS Data, SN=834, FN=0, Flags=.p....F.C"
"192","0.860158","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","142","-41 dBm","-77 dBm","36 dB","144.444","QoS Data, SN=835, FN=0, Flags=.p....F.C"
"204","0.911630","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-77 dBm","38 dB","144.444","QoS Data, SN=836, FN=0, Flags=.p....F.C"
"280","1.017253","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-77 dBm","39 dB","144.444","QoS Data, SN=837, FN=0, Flags=.p....F.C"
"296","1.125029","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-77 dBm","42 dB","144.444","QoS Data, SN=838, FN=0, Flags=.p....F.C"
"311","1.217880","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-77 dBm","37 dB","144.444","QoS Data, SN=839, FN=0, Flags=.p....F.C"
"495","1.318120","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-77 dBm","38 dB","144.444","QoS Data, SN=840, FN=0, Flags=.p....F.C"
"596","1.423463","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-77 dBm","37 dB","144.444","QoS Data, SN=841, FN=0, Flags=.p....F.C"
"607","1.490976","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-77 dBm","36 dB","144.444","QoS Data, SN=842, FN=0, Flags=.p....F.C"
"619","1.521760","0b:c7:09:5a:d8:64","Apple_08:a2:51","802.11","186","-41 dBm","-77 dBm","36 dB","144.444","QoS Data, SN=843, FN=0, Flags=.p..R.F.C"
"621","1.522137","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-77 dBm","36 dB","86.6667","QoS Data, SN=843, FN=0, Flags=.p..R.F.C"
"623","1.522471","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-77 dBm","36 dB","57.7778","QoS Data, SN=843, FN=0, Flags=.p..R.F.C"
"625","1.522887","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","162","-41 dBm","-77 dBm","36 dB","144.444","QoS Data, SN=395, FN=0, Flags=.p....F.C"
"661","1.553132","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-41 dBm","-77 dBm","36 dB","144.444","QoS Data, SN=844, FN=0, Flags=.p....F.C"
"679","1.557579","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","366","-41 dBm","-77 dBm","36 dB","144.444","QoS Data, SN=845, FN=0, Flags=.p....F.C"
"785","1.591193","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-40 dBm","-77 dBm","37 dB","144.444","QoS Data, SN=847, FN=0, Flags=.p....F.C"
"800","1.604209","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","189","-36 dBm","-77 dBm","41 dB","144.444","QoS Data, SN=852, FN=0, Flags=.p....F.C"
"854","1.622905","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-77 dBm","37 dB","144.444","QoS Data, SN=853, FN=0, Flags=.p....F.C"
"889","1.633071","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-40 dBm","-77 dBm","37 dB","144.444","QoS Data, SN=854, FN=0, Flags=.p....F.C"
"1149","1.747678","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-77 dBm","37 dB","144.444","QoS Data, SN=855, FN=0, Flags=.p....F.C"
"1206","1.827712","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-77 dBm","37 dB","144.444","QoS Data, SN=856, FN=0, Flags=.p....F.C"
"1405","1.929494","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-77 dBm","40 dB","144.444","QoS Data, SN=857, FN=0, Flags=.p....F.C"
"1508","1.982848","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","1047","-39 dBm","-77 dBm","38 dB","144.444","QoS Data, SN=859, FN=0, Flags=.p....F.C"
"1618","2.033951","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-77 dBm","38 dB","144.444","QoS Data, SN=860, FN=0, Flags=.p....F.C"
"1863","2.131974","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-77 dBm","38 dB","144.444","QoS Data, SN=861, FN=0, Flags=.p....F.C"
"2141","2.235719","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-77 dBm","38 dB","144.444","QoS Data, SN=862, FN=0, Flags=.p....F.C"
"2457","2.338693","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-77 dBm","38 dB","144.444","QoS Data, SN=863, FN=0, Flags=.p....F.C"
"2699","2.438602","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-77 dBm","38 dB","144.444","QoS Data, SN=864, FN=0, Flags=.p....F.C"
"2713","2.539091","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-77 dBm","38 dB","144.444","QoS Data, SN=865, FN=0, Flags=.p....F.C"
"2735","2.646787","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-77 dBm","39 dB","144.444","QoS Data, SN=866, FN=0, Flags=.p....F.C"
"2753","2.745460","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-77 dBm","39 dB","144.444","QoS Data, SN=867, FN=0, Flags=.p....F.C"
"2774","2.847027","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-77 dBm","39 dB","144.444","QoS Data, SN=868, FN=0, Flags=.p....F.C"
"2794","2.951086","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-77 dBm","39 dB","144.444","QoS Data, SN=869, FN=0, Flags=.p....F.C"
"2808","3.052413","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-77 dBm","40 dB","144.444","QoS Data, SN=870, FN=0, Flags=.p....F.C"
"2826","3.157729","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-77 dBm","39 dB","144.444","QoS Data, SN=871, FN=0, Flags=.p....F.C"
"2859","3.247529","aa:3d:0d:e7:5c:dd","Apple_08:a2:51","802.11","246","-36 dBm","-77 dBm","41 dB","1","Probe Response, SN=881, FN=0, Flags=........C, BI=100, SSID=z5098300"
"2866","3.263464","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-77 dBm","39 dB","144.444","QoS Data, SN=872, FN=0, Flags=.p....F.C"
"2901","3.379069","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-77 dBm","40 dB","144.444","QoS Data, SN=873, FN=0, Flags=.p....F.C"
"2924","3.468565","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-77 dBm","38 dB","144.444","QoS Data, SN=874, FN=0, Flags=.p....F.C"
"2945","3.570519","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-77 dBm","39 dB","144.444","QoS Data, SN=875, FN=0, Flags=.p....F.C"
"2958","3.670257","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-77 dBm","38 dB","144.444","QoS Data, SN=876, FN=0, Flags=.p....F.C"
"2971","3.775523","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-77 dBm","38 dB","130","QoS Data, SN=877, FN=0, Flags=.p....F.C"
"3044","3.879091","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-77 dBm","39 dB","130","QoS Data, SN=878, FN=0, Flags=.p....F.C"
"3061","3.983414","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-77 dBm","39 dB","130","QoS Data, SN=879, FN=0, Flags=.p....F.C"
