"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Data rate","Info"
"5","0.014904","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-101 dBm","61 dB","144.444","QoS Data, SN=1406, FN=0, Flags=.p....F.C"
"31","0.120105","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-40 dBm","-101 dBm","61 dB","144.444","QoS Data, SN=1407, FN=0, Flags=.p....F.C"
"43","0.219257","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-41 dBm","-101 dBm","60 dB","144.444","QoS Data, SN=1408, FN=0, Flags=.p....F.C"
"57","0.320547","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-39 dBm","-101 dBm","62 dB","144.444","QoS Data, SN=1409, FN=0, Flags=.p....F.C"
"74","0.457165","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-101 dBm","64 dB","144.444","QoS Data, SN=1410, FN=0, Flags=.p....F.C"
"79","0.527703","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=1411, FN=0, Flags=.p....F.C"
"90","0.630034","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-101 dBm","64 dB","144.444","QoS Data, SN=1412, FN=0, Flags=.p....F.C"
"93","0.656857","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","142","-33 dBm","-101 dBm","68 dB","144.444","QoS Data, SN=1413, FN=0, Flags=.p....F.C"
"113","0.756151","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-38 dBm","-101 dBm","63 dB","144.444","QoS Data, SN=1414, FN=0, Flags=.p....F.C"
"132","0.834607","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-33 dBm","-101 dBm","68 dB","144.444","QoS Data, SN=1415, FN=0, Flags=.p....F.C"
"147","0.952335","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-101 dBm","65 dB","144.444","QoS Data, SN=1416, FN=0, Flags=.p....F.C"
"164","1.058253","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-37 dBm","-101 dBm","64 dB","130","QoS Data, SN=1417, FN=0, Flags=.p..R.F.C"
"175","1.147819","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-33 dBm","-101 dBm","68 dB","130","QoS Data, SN=1418, FN=0, Flags=.p....F.C"
"196","1.246001","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-101 dBm","65 dB","130","QoS Data, SN=1419, FN=0, Flags=.p....F.C"
"227","1.384013","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-101 dBm","65 dB","130","QoS Data, SN=1420, FN=0, Flags=.p....F.C"
"241","1.454538","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-101 dBm","65 dB","130","QoS Data, SN=1421, FN=0, Flags=.p....F.C"
"261","1.561053","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-101 dBm","67 dB","130","QoS Data, SN=1422, FN=0, Flags=.p....F.C"
"278","1.664386","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","130","QoS Data, SN=1423, FN=0, Flags=.p....F.C"
"289","1.778107","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-32 dBm","-101 dBm","69 dB","130","QoS Data, SN=1424, FN=0, Flags=.p....F.C"
"301","1.864303","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","130","QoS Data, SN=1425, FN=0, Flags=.p....F.C"
"316","1.966910","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-101 dBm","65 dB","130","QoS Data, SN=1426, FN=0, Flags=.p....F.C"
"332","2.075187","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=1427, FN=0, Flags=.p....F.C"
"347","2.177202","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=1428, FN=0, Flags=.p....F.C"
"359","2.280207","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=1429, FN=0, Flags=.p....F.C"
"373","2.382274","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=1430, FN=0, Flags=.p....F.C"
"388","2.484550","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-36 dBm","-101 dBm","65 dB","144.444","QoS Data, SN=1431, FN=0, Flags=.p....F.C"
"401","2.586597","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=1432, FN=0, Flags=.p....F.C"
"416","2.690007","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=1433, FN=0, Flags=.p....F.C"
"439","2.800526","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=1434, FN=0, Flags=.p....F.C"
"466","2.902208","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-101 dBm","67 dB","144.444","QoS Data, SN=1435, FN=0, Flags=.p....F.C"
"468","2.906357","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","185","-34 dBm","-101 dBm","67 dB","144.444","QoS Data, SN=1436, FN=0, Flags=.p....F.C"
"481","2.959556","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=229, FN=0, Flags=.p..R.F.C"
"484","2.960903","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=231, FN=0, Flags=.p....F.C"
"486","2.966240","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=232, FN=0, Flags=.p....F.C"
"504","3.057960","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-33 dBm","-101 dBm","68 dB","144.444","QoS Data, SN=1437, FN=0, Flags=.p....F.C"
"508","3.065896","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","599","-33 dBm","-101 dBm","68 dB","144.444","QoS Data, SN=233, FN=0, Flags=.p....F.C"
"513","3.068757","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","193","-33 dBm","-101 dBm","68 dB","144.444","QoS Data, SN=235, FN=0, Flags=.p....F.C"
"519","3.091263","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","142","-34 dBm","-101 dBm","67 dB","144.444","QoS Data, SN=1438, FN=0, Flags=.p....F.C"
"523","3.093646","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","154","-34 dBm","-101 dBm","67 dB","144.444","QoS Data, SN=236, FN=0, Flags=.p....F.C"
"534","3.110825","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","43.3333","QoS Data, SN=1439, FN=0, Flags=.p..R.F.C"
"559","3.213491","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=1440, FN=0, Flags=.p....F.C"
"571","3.345562","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-34 dBm","-101 dBm","67 dB","144.444","QoS Data, SN=1441, FN=0, Flags=.p....F.C"
"577","3.406451","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=1442, FN=0, Flags=.p....F.C"
"586","3.510982","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=1443, FN=0, Flags=.p....F.C"
"593","3.610935","2a:c7:09:5b:d9:64","Apple_08:a2:51","802.11","186","-35 dBm","-101 dBm","66 dB","144.444","QoS Data, SN=1444, FN=0, Flags=.p....F.C"
